timestamp,platform,step,shots_requested,raw_counts,unbunched_counts,drop_rate,physical_perf,logical_perf,l1_vs_sim,corr_vs_sim,job_wall_s,credits_note
2026-07-08T00:49:21+00:00,qpu:belenos,0,1000,48,27,0.4375,4.748492697227767e-05,1.0,1.0229,0.4538,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,1,1000,46,25,0.4565,4.5405408365560764e-05,1.0,1.3558,0.2112,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,2,1000,39,24,0.3846,3.857228156661256e-05,1.0,1.1208,0.4027,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,3,1000,59,32,0.4576,5.832002814355452e-05,1.0,1.2786,0.1756,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,4,1000,39,21,0.4615,3.860811305445987e-05,1.0,1.0588,0.48,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,5,1000,55,27,0.5091,5.429545634234455e-05,1.0,1.1814,0.3696,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,6,1000,54,31,0.4259,5.330460623595766e-05,1.0,1.1955,0.2737,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,7,1000,63,35,0.4444,6.214755728035463e-05,1.0,0.998,0.4389,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,8,1000,50,27,0.46,4.93114157671028e-05,1.0,1.2349,0.2692,226.5,
2026-07-08T00:49:21+00:00,qpu:belenos,9,1000,62,36,0.4194,6.094386479015742e-05,1.0,1.0644,0.2672,226.5,
