,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.000,0.000,0.000,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-6.973,,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.026,0.000,0.000
HAR,-6.098,8.005,,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
LSTM,5.389,5.819,5.758,,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000
RC,-6.946,3.467,-7.897,-5.817,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,2.272,10.607,9.491,-5.398,10.588,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-7.008,-7.535,-8.218,-5.821,-7.380,-10.643,,0.009,0.000,0.000,0.000,0.000,0.000,0.002
RFF+Ridge,-7.006,-7.475,-8.217,-5.821,-7.448,-10.643,2.624,,0.000,0.000,0.000,0.000,0.000,0.000
ARMAX,6.367,6.537,6.521,4.622,6.536,6.351,6.537,6.537,,0.000,0.000,0.000,0.000,0.000
HARX,-6.477,8.921,-3.336,-5.785,8.330,-9.939,9.220,9.205,-6.527,,0.000,0.000,0.000,0.000
LSTMX,5.795,7.176,7.003,-3.257,7.173,5.600,7.183,7.183,-5.858,7.068,,0.000,0.000,0.000
RCX,-6.986,-2.232,-7.991,-5.819,-4.886,-10.619,5.869,5.620,-6.537,-8.926,-7.179,,0.000,0.000
HPT-QRC-X,-7.011,-7.541,-8.214,-5.821,-7.430,-10.646,-3.538,-4.501,-6.537,-9.242,-7.183,-6.583,,0.156
RFF+Ridge-X,-7.010,-7.492,-8.209,-5.821,-7.489,-10.645,-3.078,-4.177,-6.537,-9.238,-7.183,-6.704,1.417,
