,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-10.028,,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.058,0.000
HAR,-9.414,10.055,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LSTM,7.859,8.379,8.326,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-10.016,2.197,-10.000,-8.378,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,2.980,11.083,10.297,-8.034,11.089,,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-10.063,-7.155,-10.382,-8.380,-8.865,-11.117,,0.000,0.000,0.000,0.000,0.000
ARMAX,12.273,12.599,12.573,9.564,12.598,12.306,12.599,,0.000,0.000,0.000,0.000
HARX,-9.612,9.012,-4.714,-8.343,8.670,-10.466,9.227,-12.582,,0.000,0.000,0.000
LSTMX,10.953,12.796,12.466,-5.946,12.795,9.850,12.811,-11.220,12.542,,0.000,0.000
RCX,-10.044,-1.893,-10.208,-8.379,-5.736,-11.104,6.692,-12.598,-8.999,-12.803,,0.000
HPT-QRC-X,-10.065,-7.407,-10.396,-8.381,-9.155,-11.119,-4.539,-12.599,-9.254,-12.812,-7.537,
