,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.091,0.080,0.000,0.001,0.140,0.008,0.014,0.000,0.000,0.254,0.000,0.000,0.000
AR3,1.688,,0.000,0.000,0.000,0.388,0.003,0.005,0.000,0.000,0.438,0.000,0.000,0.000
HAR,-1.748,-3.499,,0.000,0.017,0.006,0.027,0.042,0.000,0.000,0.119,0.000,0.000,0.000
LSTM,4.958,4.606,5.144,,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
RC,-3.452,-4.385,-2.384,-5.840,,0.001,0.299,0.362,0.000,0.000,0.019,0.000,0.000,0.000
Classical-Ridge,1.475,0.864,2.737,-5.337,3.442,,0.002,0.003,0.000,0.000,0.537,0.000,0.000,0.000
HPT-QRC,-2.671,-3.005,-2.206,-5.574,-1.038,-3.117,,0.822,0.000,0.012,0.008,0.000,0.000,0.000
RFF+Ridge,-2.470,-2.787,-2.037,-5.492,-0.912,-2.925,0.226,,0.000,0.011,0.012,0.000,0.000,0.000
ARMAX,4.967,4.806,5.142,3.123,5.593,5.455,5.621,5.553,,0.000,0.000,0.000,0.000,0.000
HARX,-4.907,-5.106,-4.824,-7.824,-3.645,-5.374,-2.527,-2.555,-6.883,,0.000,0.000,0.000,0.000
LSTMX,1.141,0.776,1.560,-7.321,2.345,0.618,2.638,2.518,-6.824,5.276,,0.000,0.000,0.000
RCX,-7.251,-7.357,-7.190,-9.649,-6.178,-7.542,-4.760,-4.712,-8.094,-3.751,-7.094,,0.000,0.000
HPT-QRC-X,-12.791,-13.045,-13.382,-12.146,-11.574,-12.591,-9.472,-9.698,-9.775,-9.369,-9.910,-7.833,,0.023
RFF+Ridge-X,-12.656,-12.917,-13.204,-12.128,-11.518,-12.488,-9.372,-9.620,-9.767,-8.899,-9.846,-7.458,2.269,
