,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.066,0.111,0.000,0.006,0.164,0.012,0.000,0.000,0.242,0.000,0.000
AR3,1.837,,0.002,0.001,0.000,0.451,0.004,0.000,0.000,0.419,0.000,0.000
HAR,-1.594,-3.140,,0.000,0.029,0.017,0.036,0.000,0.000,0.116,0.000,0.000
LSTM,3.646,3.392,3.932,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-2.764,-3.641,-2.185,-4.592,,0.001,0.300,0.000,0.000,0.015,0.000,0.000
Classical-Ridge,1.392,0.754,2.382,-4.666,3.333,,0.003,0.000,0.000,0.481,0.000,0.000
HPT-QRC,-2.521,-2.884,-2.096,-4.442,-1.036,-2.978,,0.000,0.016,0.011,0.000,0.000
ARMAX,5.783,5.585,5.923,5.061,6.555,6.562,6.177,,0.000,0.000,0.000,0.000
HARX,-5.161,-5.376,-4.806,-5.973,-3.705,-5.315,-2.416,-7.767,,0.000,0.001,0.000
LSTMX,1.171,0.808,1.570,-6.484,2.436,0.704,2.543,-7.791,5.336,,0.000,0.000
RCX,-7.261,-7.465,-6.819,-7.685,-6.106,-7.455,-4.236,-9.460,-3.425,-7.500,,0.000
HPT-QRC-X,-12.428,-12.550,-12.239,-10.322,-11.601,-11.878,-9.295,-11.235,-9.255,-10.539,-7.923,
