,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.025,0.217,0.000,0.028,0.176,0.023,0.000,0.000,0.315,0.000,0.000
AR3,2.244,,0.004,0.002,0.003,0.604,0.007,0.000,0.000,0.565,0.000,0.000
HAR,-1.234,-2.879,,0.000,0.087,0.048,0.045,0.000,0.000,0.206,0.000,0.000
LSTM,3.546,3.135,3.673,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-2.197,-3.021,-1.710,-4.242,,0.006,0.207,0.000,0.000,0.051,0.000,0.000
Classical-Ridge,1.353,0.518,1.976,-4.633,2.755,,0.007,0.000,0.000,0.593,0.000,0.000
HPT-QRC,-2.276,-2.681,-2.007,-4.169,-1.261,-2.699,,0.000,0.007,0.025,0.000,0.000
ARMAX,5.554,5.234,5.536,4.756,6.128,6.302,5.732,,0.000,0.000,0.000,0.000
HARX,-5.765,-5.981,-5.400,-6.972,-4.359,-6.321,-2.692,-8.296,,0.000,0.002,0.000
LSTMX,1.005,0.576,1.265,-6.706,1.955,0.534,2.240,-7.462,6.472,,0.000,0.000
RCX,-7.478,-7.571,-6.944,-8.562,-6.132,-8.158,-4.103,-9.713,-3.070,-8.384,,0.000
HPT-QRC-X,-13.574,-13.499,-13.005,-12.159,-12.028,-14.120,-9.207,-11.976,-8.506,-12.116,-7.950,
