,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.152,0.738,0.110,0.892,0.521,0.096,0.846,0.083,0.529,0.149,0.118,0.067,0.089
AR3,-1.432,,0.270,0.079,0.179,0.265,0.054,0.148,0.059,0.229,0.096,0.114,0.040,0.030
HAR,-0.335,1.102,,0.075,0.730,0.287,0.083,0.611,0.055,0.249,0.091,0.115,0.036,0.032
LSTM,1.596,1.755,1.779,,0.081,0.044,0.252,0.109,0.106,0.053,0.108,0.146,0.830,0.197
RC,-0.136,1.342,0.345,-1.745,,0.374,0.067,0.737,0.058,0.353,0.101,0.116,0.042,0.031
Classical-Ridge,0.642,1.115,1.066,-2.018,0.888,,0.394,0.545,0.028,0.559,0.041,0.119,0.021,0.231
HPT-QRC,1.663,1.925,1.732,-1.146,1.829,0.853,,0.088,0.182,0.239,0.454,0.125,0.179,0.944
RFF+Ridge,0.194,1.448,0.509,-1.601,0.336,-0.605,-1.705,,0.081,0.581,0.146,0.119,0.063,0.085
ARMAX,1.732,1.889,1.923,1.619,1.894,2.198,1.335,1.745,,0.036,0.023,0.154,0.494,0.135
HARX,0.629,1.204,1.152,-1.938,0.930,-0.584,-1.178,0.552,-2.096,,0.061,0.118,0.023,0.098
LSTMX,1.444,1.664,1.692,-1.609,1.641,2.048,0.748,1.455,-2.268,1.873,,0.138,0.421,0.362
RCX,1.562,1.579,1.576,1.452,1.571,1.560,1.533,1.560,1.425,1.564,1.482,,0.144,0.127
HPT-QRC-X,1.832,2.054,2.100,-0.214,2.030,2.312,1.343,1.860,-0.684,2.265,0.804,-1.461,,0.114
RFF+Ridge-X,1.699,2.175,2.148,-1.289,2.156,1.197,-0.071,1.724,-1.496,1.654,-0.911,-1.526,-1.581,
