,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.029,0.075,0.003,0.197,0.632,0.047,0.009,0.018,0.101,0.004,0.138
AR3,-2.190,,0.634,0.000,0.319,0.278,0.005,0.001,0.203,0.006,0.004,0.012
HAR,-1.780,0.476,,0.000,0.648,0.327,0.008,0.001,0.074,0.008,0.004,0.013
LSTM,2.948,3.694,3.695,,0.000,0.000,0.201,0.087,0.000,0.000,0.006,0.013
RC,-1.289,0.996,0.456,-3.661,,0.602,0.007,0.001,0.073,0.007,0.004,0.019
Classical-Ridge,-0.479,1.086,0.979,-4.439,0.522,,0.021,0.000,0.032,0.001,0.004,0.003
HPT-QRC,1.986,2.804,2.674,-1.279,2.685,2.300,,0.493,0.003,0.643,0.005,0.784
ARMAX,2.602,3.435,3.423,-1.713,3.445,3.955,0.686,,0.000,0.009,0.005,0.187
HARX,-2.357,-1.274,-1.786,-4.047,-1.790,-2.139,-3.022,-3.864,,0.001,0.004,0.002
LSTMX,1.638,2.731,2.658,-3.868,2.696,3.421,-0.463,-2.610,3.467,,0.005,0.767
RCX,2.860,2.882,2.878,2.761,2.877,2.869,2.831,2.788,2.891,2.814,,0.005
HPT-QRC-X,1.482,2.524,2.471,-2.473,2.351,3.001,-0.275,-1.319,3.033,0.296,-2.795,
