,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.156,0.720,0.005,0.887,0.364,0.025,0.006,0.123,0.032,0.218,0.049
AR3,-1.419,,0.182,0.002,0.115,0.077,0.005,0.002,0.328,0.006,0.216,0.009
HAR,-0.358,1.333,,0.001,0.731,0.091,0.020,0.001,0.082,0.006,0.217,0.009
LSTM,2.786,3.166,3.219,,0.001,0.000,0.071,0.062,0.001,0.001,0.240,0.038
RC,-0.142,1.577,0.343,-3.205,,0.162,0.013,0.001,0.110,0.007,0.218,0.014
Classical-Ridge,0.908,1.766,1.690,-3.808,1.398,,0.259,0.000,0.041,0.000,0.221,0.003
HPT-QRC,2.240,2.784,2.319,-1.806,2.489,1.128,,0.147,0.005,0.552,0.225,0.512
ARMAX,2.728,3.137,3.199,-1.863,3.229,3.683,1.451,,0.001,0.012,0.236,0.251
HARX,-1.541,-0.978,-1.738,-3.243,-1.598,-2.048,-2.821,-3.205,,0.003,0.215,0.006
LSTMX,2.144,2.728,2.761,-3.420,2.719,3.507,0.595,-2.509,2.949,,0.230,0.769
RCX,1.232,1.237,1.234,1.175,1.232,1.223,1.212,1.186,1.240,1.201,,0.231
HPT-QRC-X,1.970,2.599,2.610,-2.078,2.455,2.958,0.656,-1.147,2.753,0.294,-1.198,
