,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-13.394,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000
HAR,-11.731,12.330,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LSTM,10.338,10.951,10.871,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-13.348,3.575,-12.377,-10.949,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,4.228,18.287,16.033,-10.340,18.249,,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-13.452,-10.233,-12.862,-10.953,-9.363,-18.342,,0.000,0.000,0.000,0.000,0.000
ARMAX,13.308,13.683,13.648,7.756,13.681,13.279,13.683,,0.000,0.000,0.000,0.000
HARX,-12.388,12.679,-5.436,-10.907,12.417,-16.882,13.364,-13.662,,0.000,0.000,0.000
LSTMX,8.814,11.112,10.797,-7.482,11.106,8.189,11.122,-11.950,10.914,,0.000,0.000
RCX,-13.426,-2.735,-12.618,-10.952,-7.488,-18.312,6.519,-13.683,-13.069,-11.115,,0.000
HPT-QRC-X,-13.471,-10.536,-12.955,-10.954,-10.869,-18.358,-6.990,-13.684,-13.545,-11.124,-10.215,
