,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.000,0.000,0.000,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-10.028,,0.000,0.000,0.028,0.000,0.000,0.000,0.000,0.000,0.058,0.000
HAR,-9.414,10.055,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LSTM,7.771,8.123,8.088,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-10.016,2.197,-10.000,-8.123,,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,2.980,11.083,10.297,-7.865,11.089,,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-10.056,-6.798,-10.338,-8.124,-7.953,-11.112,,0.000,0.000,0.000,0.000,0.000
ARMAX,12.273,12.599,12.573,7.367,12.598,12.306,12.599,,0.000,0.000,0.000,0.000
HARX,-9.612,9.012,-4.714,-8.100,8.670,-10.466,9.193,-12.582,,0.000,0.000,0.000
LSTMX,7.986,9.611,9.371,-6.326,9.608,6.295,9.622,-11.057,9.432,,0.000,0.000
RCX,-10.044,-1.893,-10.208,-8.124,-5.736,-11.104,5.459,-12.598,-8.999,-9.616,,0.000
HPT-QRC-X,-10.064,-7.316,-10.390,-8.124,-9.094,-11.119,-6.347,-12.599,-9.247,-9.624,-7.498,
