,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.000,0.000,0.000,0.000,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-5.274,,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.104,0.000,0.000
HAR,-4.954,6.490,,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000
LSTM,3.752,3.967,3.944,,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000
RC,-5.263,2.513,-6.369,-3.967,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,1.642,5.623,5.319,-3.815,5.622,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-5.284,-4.656,-6.521,-3.968,-5.822,-5.634,,0.016,0.000,0.000,0.000,0.000,0.000,0.000
RFF+Ridge,-5.284,-4.724,-6.529,-3.968,-6.000,-5.634,2.404,,0.000,0.000,0.000,0.000,0.000,0.000
ARMAX,5.938,6.074,6.063,4.604,6.074,5.950,6.074,6.074,,0.000,0.000,0.000,0.000,0.000
HARX,-5.101,5.673,-3.247,-3.952,5.415,-5.415,5.685,5.688,-6.066,,0.000,0.000,0.000,0.000
LSTMX,5.829,6.715,6.582,-2.841,6.714,5.049,6.721,6.721,-5.447,6.618,,0.000,0.000,0.000
RCX,-5.275,-1.626,-6.452,-3.967,-3.801,-5.628,4.116,4.061,-6.074,-5.605,-6.717,,0.000,0.000
HPT-QRC-X,-5.285,-4.752,-6.520,-3.968,-5.838,-5.634,-3.831,-3.750,-6.074,-5.693,-6.721,-4.425,,0.309
RFF+Ridge-X,-5.285,-4.736,-6.520,-3.968,-5.834,-5.634,-3.516,-3.572,-6.074,-5.693,-6.721,-4.469,1.017,
