,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
AR3,-13.394,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.000
HAR,-11.731,12.330,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
LSTM,11.298,12.278,12.146,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
RC,-13.348,3.575,-12.377,-12.274,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Classical-Ridge,4.228,18.287,16.033,-11.386,18.249,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
HPT-QRC,-13.466,-10.306,-12.945,-12.282,-10.449,-18.352,,0.001,0.000,0.000,0.000,0.000,0.000,0.000
RFF+Ridge,-13.464,-10.222,-12.928,-12.282,-10.231,-18.351,3.365,,0.000,0.000,0.000,0.000,0.000,0.000
ARMAX,13.308,13.683,13.648,9.709,13.681,13.279,13.684,13.684,,0.000,0.000,0.000,0.000,0.000
HARX,-12.388,12.679,-5.436,-12.204,12.417,-16.882,13.488,13.457,-13.662,,0.000,0.000,0.000,0.000
LSTMX,11.373,13.995,13.614,-6.893,13.988,11.107,14.008,14.008,-12.236,13.769,,0.000,0.000,0.000
RCX,-13.426,-2.735,-12.618,-12.279,-7.488,-18.312,8.698,8.087,-13.683,-13.069,-14.000,,0.000,0.000
HPT-QRC-X,-13.472,-10.577,-12.959,-12.282,-10.871,-18.358,-4.995,-6.218,-13.684,-13.542,-14.009,-10.216,,0.086
RFF+Ridge-X,-13.471,-10.464,-12.953,-12.282,-10.825,-18.356,-4.466,-5.710,-13.684,-13.535,-14.009,-10.080,1.718,
