,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.029,0.151,0.000,0.006,0.162,0.020,0.040,0.000,0.000,0.326,0.000,0.000,0.000
AR3,2.181,,0.001,0.000,0.000,0.555,0.006,0.014,0.000,0.000,0.572,0.000,0.000,0.000
HAR,-1.435,-3.319,,0.000,0.047,0.023,0.041,0.078,0.000,0.000,0.198,0.000,0.000,0.000
LSTM,4.458,4.077,4.535,,0.000,0.000,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000
RC,-2.726,-3.725,-1.985,-5.115,,0.003,0.228,0.324,0.000,0.000,0.051,0.000,0.000,0.000
Classical-Ridge,1.400,0.590,2.279,-4.897,2.961,,0.006,0.013,0.000,0.000,0.636,0.000,0.000,0.000
HPT-QRC,-2.331,-2.745,-2.044,-4.794,-1.205,-2.753,,0.545,0.000,0.005,0.022,0.000,0.000,0.000
RFF+Ridge,-2.055,-2.455,-1.763,-4.688,-0.986,-2.490,0.606,,0.000,0.006,0.033,0.000,0.000,0.000
ARMAX,4.785,4.560,4.879,2.814,5.297,5.334,5.250,5.148,,0.000,0.000,0.000,0.000,0.000
HARX,-5.257,-5.463,-5.248,-7.689,-4.191,-6.183,-2.792,-2.767,-7.265,,0.000,0.001,0.000,0.000
LSTMX,0.982,0.565,1.286,-7.019,1.949,0.473,2.297,2.138,-6.785,6.530,,0.000,0.000,0.000
RCX,-6.947,-7.046,-6.965,-8.723,-5.890,-7.825,-4.597,-4.431,-8.127,-3.247,-7.823,,0.000,0.000
HPT-QRC-X,-13.352,-13.857,-14.046,-11.003,-11.935,-14.780,-9.790,-9.351,-10.225,-8.019,-11.162,-7.365,,0.283
RFF+Ridge-X,-12.826,-13.325,-13.441,-10.870,-11.646,-14.237,-9.722,-9.346,-10.165,-7.462,-10.910,-6.845,1.074,
