,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.066,0.111,0.000,0.006,0.164,0.012,0.018,0.000,0.000,0.242,0.000,0.000,0.000
AR3,1.837,,0.002,0.000,0.000,0.451,0.004,0.007,0.000,0.000,0.419,0.000,0.000,0.000
HAR,-1.594,-3.140,,0.000,0.029,0.017,0.036,0.050,0.000,0.000,0.116,0.000,0.000,0.000
LSTM,4.873,4.599,5.036,,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000
RC,-2.764,-3.641,-2.185,-5.752,,0.001,0.300,0.357,0.000,0.000,0.015,0.000,0.000,0.000
Classical-Ridge,1.392,0.754,2.382,-5.907,3.333,,0.003,0.005,0.000,0.000,0.481,0.000,0.000,0.000
HPT-QRC,-2.521,-2.884,-2.096,-5.437,-1.036,-2.978,,0.836,0.000,0.016,0.011,0.000,0.000,0.000
RFF+Ridge,-2.358,-2.704,-1.961,-5.273,-0.922,-2.789,0.207,,0.000,0.015,0.016,0.000,0.000,0.000
ARMAX,5.783,5.585,5.923,3.052,6.555,6.562,6.177,5.987,,0.000,0.000,0.000,0.000,0.000
HARX,-5.161,-5.376,-4.806,-7.505,-3.705,-5.315,-2.416,-2.423,-7.767,,0.000,0.001,0.000,0.000
LSTMX,1.171,0.808,1.570,-8.641,2.436,0.704,2.543,2.409,-7.791,5.336,,0.000,0.000,0.000
RCX,-7.261,-7.465,-6.819,-9.455,-6.106,-7.455,-4.236,-4.186,-9.460,-3.425,-7.500,,0.000,0.000
HPT-QRC-X,-12.428,-12.550,-12.239,-12.265,-11.601,-11.878,-9.295,-9.377,-11.235,-9.255,-10.539,-7.923,,0.030
RFF+Ridge-X,-12.108,-12.241,-11.882,-12.096,-11.261,-11.609,-9.084,-9.185,-11.121,-8.919,-10.339,-7.529,2.176,
