,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.025,0.217,0.000,0.028,0.176,0.023,0.048,0.000,0.000,0.315,0.000,0.000,0.000
AR3,2.244,,0.004,0.000,0.003,0.604,0.007,0.018,0.000,0.000,0.565,0.000,0.000,0.000
HAR,-1.234,-2.879,,0.000,0.087,0.048,0.045,0.084,0.000,0.000,0.206,0.000,0.000,0.000
LSTM,4.463,4.072,4.477,,0.000,0.000,0.000,0.000,0.010,0.000,0.000,0.000,0.000,0.000
RC,-2.197,-3.021,-1.710,-5.040,,0.006,0.207,0.311,0.000,0.000,0.051,0.000,0.000,0.000
Classical-Ridge,1.353,0.518,1.976,-5.485,2.755,,0.007,0.016,0.000,0.000,0.593,0.000,0.000,0.000
HPT-QRC,-2.276,-2.681,-2.007,-4.833,-1.261,-2.699,,0.578,0.000,0.007,0.025,0.000,0.000,0.000
RFF+Ridge,-1.978,-2.361,-1.726,-4.628,-1.013,-2.409,0.556,,0.000,0.007,0.040,0.000,0.000,0.000
ARMAX,5.554,5.234,5.536,2.590,6.128,6.302,5.732,5.485,,0.000,0.000,0.000,0.000,0.000
HARX,-5.765,-5.981,-5.400,-7.833,-4.359,-6.321,-2.692,-2.676,-8.296,,0.000,0.002,0.000,0.000
LSTMX,1.005,0.576,1.265,-8.379,1.955,0.534,2.240,2.056,-7.462,6.472,,0.000,0.000,0.000
RCX,-7.478,-7.571,-6.944,-9.348,-6.132,-8.158,-4.103,-4.019,-9.713,-3.070,-8.384,,0.000,0.000
HPT-QRC-X,-13.574,-13.499,-13.005,-12.415,-12.028,-14.120,-9.207,-8.854,-11.976,-8.506,-12.116,-7.950,,0.307
RFF+Ridge-X,-13.056,-13.012,-12.485,-12.172,-11.587,-13.590,-9.104,-8.796,-11.846,-8.210,-11.767,-7.497,1.021,
