,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.050,0.090,0.084,0.232,0.710,0.135,0.933,0.057,0.589,0.158,0.122,0.119,0.274
AR3,-1.956,,0.605,0.037,0.340,0.456,0.042,0.054,0.026,0.283,0.055,0.107,0.030,0.026
HAR,-1.695,0.517,,0.036,0.641,0.504,0.048,0.123,0.024,0.294,0.054,0.109,0.027,0.030
LSTM,1.725,2.081,2.100,,0.043,0.015,0.394,0.067,0.119,0.027,0.081,0.217,0.256,0.143
RC,-1.195,0.953,0.467,-2.027,,0.718,0.051,0.231,0.027,0.606,0.063,0.110,0.041,0.040
Classical-Ridge,-0.373,0.746,0.669,-2.431,0.361,,0.093,0.702,0.010,0.981,0.015,0.115,0.006,0.074
HPT-QRC,1.493,2.037,1.979,-0.853,1.952,1.678,,0.086,0.235,0.077,0.838,0.136,0.780,0.347
RFF+Ridge,-0.084,1.924,1.543,-1.831,1.197,0.382,-1.717,,0.045,0.615,0.124,0.119,0.074,0.159
ARMAX,1.905,2.230,2.252,1.558,2.211,2.575,1.188,2.008,,0.018,0.011,0.262,0.104,0.082
HARX,-0.540,1.073,1.050,-2.216,0.516,0.024,-1.768,-0.503,-2.372,,0.040,0.113,0.019,0.078
LSTMX,1.413,1.916,1.929,-1.744,1.859,2.421,0.205,1.539,-2.535,2.057,,0.186,0.936,0.348
RCX,1.548,1.611,1.604,1.234,1.597,1.576,1.492,1.561,1.122,1.583,1.323,,0.180,0.133
HPT-QRC-X,1.557,2.166,2.208,-1.135,2.044,2.726,0.280,1.790,-1.626,2.352,0.080,-1.341,,0.237
RFF+Ridge-X,1.095,2.222,2.173,-1.465,2.051,1.789,-0.941,1.410,-1.742,1.760,-0.938,-1.502,-1.183,
