,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.029,0.075,0.003,0.197,0.632,0.047,0.945,0.001,0.515,0.032,0.005,0.062,0.232
AR3,-2.190,,0.634,0.000,0.319,0.278,0.005,0.110,0.000,0.152,0.002,0.003,0.007,0.013
HAR,-1.780,0.476,,0.000,0.648,0.327,0.008,0.177,0.000,0.143,0.002,0.003,0.006,0.020
LSTM,2.948,3.694,3.695,,0.000,0.000,0.201,0.002,0.036,0.000,0.002,0.030,0.138,0.018
RC,-1.289,0.996,0.456,-3.661,,0.602,0.007,0.299,0.000,0.499,0.002,0.004,0.010,0.023
Classical-Ridge,-0.479,1.086,0.979,-4.439,0.522,,0.021,0.636,0.000,0.979,0.000,0.004,0.002,0.042
HPT-QRC,1.986,2.804,2.674,-1.279,2.685,2.300,,0.016,0.076,0.019,0.770,0.011,0.743,0.318
RFF+Ridge,-0.069,1.599,1.350,-3.120,1.039,0.474,-2.405,,0.001,0.622,0.017,0.004,0.022,0.130
ARMAX,3.259,3.908,3.907,2.095,3.953,4.546,1.775,3.417,,0.000,0.000,0.048,0.034,0.005
HARX,-0.651,1.432,1.465,-3.825,0.676,0.027,-2.341,-0.492,-4.091,,0.002,0.004,0.009,0.063
LSTMX,2.143,3.066,3.029,-3.143,3.063,3.865,0.293,2.392,-4.320,3.128,,0.018,0.931,0.176
RCX,2.814,2.945,2.935,2.171,2.915,2.870,2.546,2.843,1.978,2.881,2.367,,0.017,0.007
HPT-QRC-X,1.865,2.720,2.723,-1.483,2.569,3.097,0.328,2.283,-2.117,2.622,0.087,-2.378,,0.148
RFF+Ridge-X,1.195,2.479,2.334,-2.365,2.276,2.030,-0.998,1.515,-2.786,1.860,-1.353,-2.710,-1.447,
