,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,RFF+Ridge,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X,RFF+Ridge-X
AR1,,0.156,0.720,0.005,0.887,0.364,0.025,0.903,0.002,0.365,0.021,0.088,0.014,0.035
AR3,-1.419,,0.182,0.002,0.115,0.077,0.005,0.354,0.001,0.050,0.005,0.085,0.004,0.003
HAR,-0.358,1.333,,0.001,0.731,0.091,0.020,0.715,0.000,0.059,0.005,0.086,0.004,0.006
LSTM,2.786,3.166,3.219,,0.001,0.000,0.071,0.007,0.034,0.000,0.002,0.132,0.801,0.030
RC,-0.142,1.577,0.343,-3.205,,0.162,0.013,0.832,0.001,0.129,0.005,0.087,0.005,0.005
Classical-Ridge,0.908,1.766,1.690,-3.808,1.398,,0.259,0.454,0.000,0.483,0.000,0.093,0.003,0.121
HPT-QRC,2.240,2.784,2.319,-1.806,2.489,1.128,,0.015,0.035,0.135,0.273,0.103,0.134,0.950
RFF+Ridge,0.121,0.926,0.365,-2.675,0.212,-0.749,-2.437,,0.003,0.555,0.025,0.089,0.013,0.056
ARMAX,3.040,3.416,3.484,2.121,3.480,4.102,2.106,2.958,,0.000,0.000,0.140,0.416,0.012
HARX,0.905,1.957,1.887,-3.520,1.518,-0.701,-1.493,0.590,-3.799,,0.002,0.092,0.004,0.052
LSTMX,2.316,2.801,2.836,-3.068,2.808,3.519,1.095,2.248,-4.131,3.068,,0.119,0.362,0.164
RCX,1.707,1.723,1.714,1.508,1.711,1.679,1.633,1.700,1.476,1.686,1.561,,0.133,0.104
HPT-QRC-X,2.455,2.896,2.896,-0.252,2.808,2.986,1.499,2.489,-0.813,2.847,0.912,-1.502,,0.059
RFF+Ridge-X,2.103,3.019,2.760,-2.172,2.819,1.552,-0.063,1.913,-2.498,1.941,-1.393,-1.624,-1.887,
