dataset,order,seed,encode_window,feedback,nrmse
narma5,5,42,1,True,0.3608256082543705
narma5,5,42,1,False,0.3781213685823948
narma5,5,42,2,True,0.3439037980210379
narma5,5,42,2,False,0.3932440093977496
narma5,5,42,3,True,0.35929994564587564
narma5,5,42,3,False,0.3834984511140428
narma5,5,42,5,True,0.25854274241657305
narma5,5,42,5,False,0.3808662588958964
narma5,5,42,8,True,0.1340521098708602
narma5,5,42,8,False,0.07409198437305282
narma5,5,42,10,True,0.19352303999068743
narma5,5,42,10,False,0.08166231561676676
narma5,5,42,12,True,0.272201438878751
narma5,5,42,12,False,0.18765636244367637
narma5,5,42,15,True,0.3738454416361905
narma5,5,42,15,False,0.28538611385602586
narma5,5,42,20,True,0.396666202108623
narma5,5,42,20,False,0.3523719849878481
narma5,5,42,25,True,0.3824062754630384
narma5,5,42,25,False,0.342839565391756
narma5,5,43,1,True,0.36093556499910606
narma5,5,43,1,False,0.3640493399422052
narma5,5,43,2,True,0.34579416513426187
narma5,5,43,2,False,0.3669059803165728
narma5,5,43,3,True,0.35778904966535324
narma5,5,43,3,False,0.37627451315008587
narma5,5,43,5,True,0.2358965578448391
narma5,5,43,5,False,0.37149308185590607
narma5,5,43,8,True,0.10602538648131474
narma5,5,43,8,False,0.07168024906504238
narma5,5,43,10,True,0.24359935392226212
narma5,5,43,10,False,0.09066851007727567
narma5,5,43,12,True,0.21698140774033706
narma5,5,43,12,False,0.13366988924494733
narma5,5,43,15,True,0.385029969153871
narma5,5,43,15,False,0.2866168942163018
narma5,5,43,20,True,0.3618460890712364
narma5,5,43,20,False,0.30851632970871185
narma5,5,43,25,True,0.37083078744740133
narma5,5,43,25,False,0.37720149876487
narma5,5,44,1,True,0.3374288736208251
narma5,5,44,1,False,0.35710397848974373
narma5,5,44,2,True,0.34054503894448035
narma5,5,44,2,False,0.357633621008296
narma5,5,44,3,True,0.34628746739775784
narma5,5,44,3,False,0.3574126447156451
narma5,5,44,5,True,0.23235525018130987
narma5,5,44,5,False,0.35909098283737045
narma5,5,44,8,True,0.1449994928573287
narma5,5,44,8,False,0.06478316413589452
narma5,5,44,10,True,0.19926453505392372
narma5,5,44,10,False,0.13281528873652274
narma5,5,44,12,True,0.1909711619938905
narma5,5,44,12,False,0.13005901135380948
narma5,5,44,15,True,0.3317274420753196
narma5,5,44,15,False,0.24735186258258543
narma5,5,44,20,True,0.3042282110987265
narma5,5,44,20,False,0.3283758474803888
narma5,5,44,25,True,0.3386916009451762
narma5,5,44,25,False,0.33779555313579
narma10,10,42,1,True,0.3366567517830857
narma10,10,42,1,False,0.40325709395679293
narma10,10,42,2,True,0.3365017818850215
narma10,10,42,2,False,0.3979104032024634
narma10,10,42,3,True,0.3519440399242552
narma10,10,42,3,False,0.4039138986070161
narma10,10,42,5,True,0.34397919103558033
narma10,10,42,5,False,0.40755108781165506
narma10,10,42,8,True,0.3771692794314141
narma10,10,42,8,False,0.4188347212818761
narma10,10,42,10,True,0.24792324736000118
narma10,10,42,10,False,0.4200808939812759
narma10,10,42,12,True,0.30019417518833197
narma10,10,42,12,False,0.2875146199556026
narma10,10,42,15,True,0.29709060511112995
narma10,10,42,15,False,0.33131627751884785
narma10,10,42,20,True,0.2967347855989531
narma10,10,42,20,False,0.37626586589162847
narma10,10,42,25,True,0.41148290658429026
narma10,10,42,25,False,0.3845726070641154
narma10,10,43,1,True,0.44840127783935424
narma10,10,43,1,False,0.41451071035814807
narma10,10,43,2,True,0.47576255066480644
narma10,10,43,2,False,0.41061620854927916
narma10,10,43,3,True,0.5177790730770734
narma10,10,43,3,False,0.41087536429056765
narma10,10,43,5,True,0.548541465394095
narma10,10,43,5,False,0.42761760586562564
narma10,10,43,8,True,0.444221397236065
narma10,10,43,8,False,0.4173438151494122
narma10,10,43,10,True,0.3252746449400287
narma10,10,43,10,False,0.4336837254037793
narma10,10,43,12,True,0.262931189357511
narma10,10,43,12,False,0.2690461009498804
narma10,10,43,15,True,0.25512489887050127
narma10,10,43,15,False,0.3605942902043259
narma10,10,43,20,True,0.3606248495904321
narma10,10,43,20,False,0.389440658760218
narma10,10,43,25,True,0.4289695781826654
narma10,10,43,25,False,0.398590199713804
narma10,10,44,1,True,0.35491861387482626
narma10,10,44,1,False,0.43483151821123867
narma10,10,44,2,True,0.348303300512453
narma10,10,44,2,False,0.43454551644320666
narma10,10,44,3,True,0.33778124219504485
narma10,10,44,3,False,0.4336988826085672
narma10,10,44,5,True,0.3333313926163128
narma10,10,44,5,False,0.43109433761501703
narma10,10,44,8,True,0.35331134344701076
narma10,10,44,8,False,0.43713092685338106
narma10,10,44,10,True,0.25613028644429975
narma10,10,44,10,False,0.4508925248097661
narma10,10,44,12,True,0.2309204815593164
narma10,10,44,12,False,0.32425222443481505
narma10,10,44,15,True,0.3285424629319818
narma10,10,44,15,False,0.427533224185883
narma10,10,44,20,True,0.35659547385822205
narma10,10,44,20,False,0.42003278578428044
narma10,10,44,25,True,0.3340673375174203
narma10,10,44,25,False,0.3688512450578899
narma20,20,42,1,True,0.44550843234695847
narma20,20,42,1,False,0.8946260237069067
narma20,20,42,2,True,0.5528520623215776
narma20,20,42,2,False,0.8959027564539213
narma20,20,42,3,True,0.545232934026145
narma20,20,42,3,False,0.8970544458148297
narma20,20,42,5,True,0.5675982967936082
narma20,20,42,5,False,0.8946680131462468
narma20,20,42,8,True,0.624928079976273
narma20,20,42,8,False,0.8933526652930631
narma20,20,42,10,True,0.6021977119295698
narma20,20,42,10,False,0.9075446831700522
narma20,20,42,12,True,0.644194829701715
narma20,20,42,12,False,0.9068791356491076
narma20,20,42,15,True,0.634908135484997
narma20,20,42,15,False,0.9137730870432696
narma20,20,42,20,True,0.5293366742036328
narma20,20,42,20,False,0.8929717927778511
narma20,20,42,25,True,0.5275548658139952
narma20,20,42,25,False,0.5060345541979868
narma20,20,43,1,True,0.6165193131631223
narma20,20,43,1,False,0.8398081415586787
narma20,20,43,2,True,0.579982747660001
narma20,20,43,2,False,0.8445771098752055
narma20,20,43,3,True,0.5371496932740015
narma20,20,43,3,False,0.8303517216253953
narma20,20,43,5,True,0.5669182422659114
narma20,20,43,5,False,0.8293185646933393
narma20,20,43,8,True,0.6152310749475274
narma20,20,43,8,False,0.8398828072089844
narma20,20,43,10,True,0.6414911358024177
narma20,20,43,10,False,0.8679236050185011
narma20,20,43,12,True,0.6132674541133392
narma20,20,43,12,False,0.8361928840638682
narma20,20,43,15,True,0.6261967991134263
narma20,20,43,15,False,0.8348113832647874
narma20,20,43,20,True,0.6088712551485532
narma20,20,43,20,False,0.8705774558003729
narma20,20,43,25,True,0.4388920705380505
narma20,20,43,25,False,0.48840163902704525
narma20,20,44,1,True,0.44228488029105406
narma20,20,44,1,False,0.8602665113265898
narma20,20,44,2,True,0.4746756396289057
narma20,20,44,2,False,0.8551659003704939
narma20,20,44,3,True,0.5097105133148124
narma20,20,44,3,False,0.87030867137693
narma20,20,44,5,True,0.5777355218415974
narma20,20,44,5,False,0.8866591640857748
narma20,20,44,8,True,0.5538735882141282
narma20,20,44,8,False,0.8717542530952173
narma20,20,44,10,True,0.6139367658481508
narma20,20,44,10,False,0.9016492182273319
narma20,20,44,12,True,0.6211963805982251
narma20,20,44,12,False,0.9065962987233418
narma20,20,44,15,True,0.6755119673797356
narma20,20,44,15,False,0.8825965192897712
narma20,20,44,20,True,0.5933153459460776
narma20,20,44,20,False,0.9034870572853966
narma20,20,44,25,True,0.4421058283448371
narma20,20,44,25,False,0.4854620927433863
