g_fb,seed,nrmse,regime,peak,tail,memory_steps
0.0,42,0.2522015715482379,contracting,0.07531358932903631,0.0,44
0.05,42,0.25639611204469626,contracting,0.07525562265543763,7.175141685771377e-18,45
0.1,42,0.25608337438981343,contracting,0.0751973862227735,1.531554141898045e-17,47
0.3,42,0.24792324736000118,contracting,0.07497220615234285,3.247390812715867e-17,70
0.6,42,0.2530275608019415,contracting,0.07471666759799257,4.134324788570646e-17,85
1.0,42,0.34899699340776347,contracting,0.07462894564281057,8.479337065653435e-06,261
1.5,42,0.4355251512813407,ESP-violating,0.11797284788887893,0.029437798919450215,1000
2.0,42,0.6690806063417095,ESP-violating,0.14166965544363014,0.058128345041926224,1000
3.0,42,0.7522629259140998,ESP-violating,0.11520467515824784,0.09483788104549852,1000
5.0,42,0.6677315376674015,ESP-violating,0.11519201210495968,0.08571581001172654,1000
0.0,43,0.31748170345416116,contracting,0.08200500701951893,0.0,44
0.05,43,0.32576325560339264,contracting,0.08195346878407483,0.0,46
0.1,43,0.32113609708077223,contracting,0.08190275703862429,8.987051566008238e-20,51
0.3,43,0.3252746449400287,contracting,0.08176577798838588,4.0018025679664276e-17,78
0.6,43,0.32234305569475974,contracting,0.08202232695007296,4.9209931141159945e-12,162
1.0,43,0.5597432649821799,contracting,0.08322317863020069,6.253979999310505e-05,695
1.5,43,0.4039792413101528,ESP-violating,0.10270091945072243,0.04562446497284127,1000
2.0,43,0.5570185212809857,ESP-violating,0.15077136510641456,0.07021023041057665,1000
3.0,43,0.5483586869814782,ESP-violating,0.13036957541349803,0.09460536365001329,1000
5.0,43,0.7858697394042502,ESP-violating,0.10764210142450778,0.08275865095454887,1000
0.0,44,0.2719602302344716,contracting,0.07268823073351409,0.0,44
0.05,44,0.2716979166346533,contracting,0.07276143179113957,0.0,46
0.1,44,0.27138275566306735,contracting,0.0728516929544239,2.7978946291297034e-17,49
0.3,44,0.25613028644429975,contracting,0.07336720286715065,3.453227931720995e-17,69
0.6,44,0.25479185488168576,contracting,0.07440360743570648,4.4239892331428757e-17,80
1.0,44,0.26130745740826344,contracting,0.08641878544089386,5.950745297763168e-17,100
1.5,44,0.5086410466457251,ESP-violating,0.11060544790762025,0.014201974911844979,1000
2.0,44,0.9700147133558819,ESP-violating,0.13818892084693263,0.06606489093672101,1000
3.0,44,0.7338298908784597,ESP-violating,0.1369941026733409,0.10975261031213586,1000
5.0,44,0.4921075912348567,ESP-violating,0.10687804787229767,0.07922869582883024,1000
