photon_list,n_modes,dataset,fock_dim,MSE_mean,MSE_std,NRMSE_mean,NRMSE_std,QLIKE_mean,QLIKE_std
[1],8,NARMA10,8,0.005917140079760986,0.0006256312609664804,0.7431994211752824,0.07508450668032748,0.01941866504772902,0.0034026844829765763
[1],8,Mackey_Glass,8,1.6543619653751403e-06,3.0366515345596674e-07,0.005529271356856079,0.0006157037894814386,1.2334557042437132e-06,2.271008320743202e-07
[1],8,SP500_RV,8,0.004188739539374454,0.00037659534437886307,0.7161322767373868,0.031832223251369064,0.005920686585851019,0.000500088368149834
[2],8,NARMA10,28,0.006020188923260813,0.0007329647247909394,0.7497635781574236,0.0835325420646771,0.01987529641468751,0.003855202074415993
[2],8,Mackey_Glass,28,1.6085245389799168e-06,3.5851788980379936e-07,0.005446658563680689,0.0007095016219067552,1.0491421253189247e-06,2.0837454757374635e-07
[2],8,SP500_RV,28,0.004108252363637348,0.00045595799207849715,0.7089553842940708,0.03941805953444398,0.00580120035253918,0.0004925587043788507
[3],8,NARMA10,56,0.006402890734575721,0.0008287202334525287,0.7709490943876373,0.05526844508121383,0.02026215487855414,0.002852779950488256
[3],8,Mackey_Glass,56,1.5239492398900789e-06,3.377795458933077e-07,0.005302025438509282,0.000691118544683938,1.0914597737810007e-06,2.029939669478367e-07
[3],8,SP500_RV,56,0.004040407773679445,0.0002955337907143584,0.7034816400358208,0.02597289806473577,0.005696739627366616,0.0003676285526692873
[4],8,NARMA10,70,0.006046333200230597,0.0006042303194579455,0.7506453827571352,0.06430047252710369,0.019572456622862264,0.0028140461093972132
[4],8,Mackey_Glass,70,1.5295298209509125e-06,3.1516045806722444e-07,0.005313651069613304,0.0006489792047088474,1.02333229574129e-06,1.2684090637410446e-07
[4],8,SP500_RV,70,0.004489094376275791,0.00025979758034808554,0.7416463896749986,0.021346206275139765,0.006321772415767014,0.0003543975738374806
[5],8,NARMA10,56,0.0061549114699152516,0.000624155821416855,0.7574232289917183,0.06666036824791027,0.019979309084240737,0.0030132245557892194
[5],8,Mackey_Glass,56,1.451693367266104e-06,3.977663754017856e-07,0.005166389070455086,0.0008073102254062768,9.365820263410965e-07,2.6592160262106566e-07
[5],8,SP500_RV,56,0.005081434814489039,0.0010720449937996477,0.7864830947413127,0.08129394704650901,0.007114323273003681,0.001603490202205521
