dataset,family,setting,seed,feature_dim,nrmse
channel_eq,photonic,1,42,2340,0.08762481218631223
channel_eq,photonic,2,42,4640,0.09242303049189039
channel_eq,photonic,4,42,9240,0.08812518323226147
channel_eq,photonic,8,42,18440,0.08864979619539094
channel_eq,esn,50,42,51,0.1889474245030235
channel_eq,esn,100,42,101,0.16326125763327404
channel_eq,esn,200,42,201,0.1444269905786661
channel_eq,esn,500,42,501,0.12208127334916075
channel_eq,esn,1000,42,1001,0.10258855629827099
channel_eq,esn,2000,42,2001,0.09854655021594227
channel_eq,esn,4000,42,4001,0.09482753005151036
channel_eq,rff,50,42,50,0.16054266296715233
channel_eq,rff,100,42,100,0.1538882371272452
channel_eq,rff,300,42,300,0.15114941253814076
channel_eq,rff,600,42,600,0.1533701771217645
channel_eq,rff,1200,42,1200,0.15024419697609628
channel_eq,rff,2400,42,2400,0.14938315335437727
channel_eq,rff,4800,42,4800,0.149859892213439
channel_eq,poly,w5d2,42,20,0.17163358232962164
channel_eq,poly,w10d2,42,65,0.15572946336780844
channel_eq,poly,w20d2,42,230,0.16017141596086806
channel_eq,poly,w10d3,42,285,0.1554880023981531
channel_eq,poly,w14d3,42,679,0.17020999435127657
channel_eq,classical_control,5,42,5,0.1873373636287012
channel_eq,classical_control,10,42,10,0.17328551486498753
channel_eq,classical_control,20,42,20,0.17212760142652778
channel_eq,classical_control,40,42,40,0.1719634116741056
channel_eq,classical_control,60,42,60,0.17269114328353832
channel_eq,classical_control,80,42,80,0.1728401382086614
channel_eq,photonic,1,43,2340,0.07784679118760024
channel_eq,photonic,2,43,4640,0.08107189703640164
channel_eq,photonic,4,43,9240,0.08508357064218336
channel_eq,photonic,8,43,18440,0.0829383488623454
channel_eq,esn,50,43,51,0.17067439875248866
channel_eq,esn,100,43,101,0.14616726253734105
channel_eq,esn,200,43,201,0.13373053500164508
channel_eq,esn,500,43,501,0.11876056742309732
channel_eq,esn,1000,43,1001,0.10466637120728041
channel_eq,esn,2000,43,2001,0.10081913442336153
channel_eq,esn,4000,43,4001,0.09771354595004408
channel_eq,rff,50,43,50,0.1521580201170189
channel_eq,rff,100,43,100,0.14819545339696616
channel_eq,rff,300,43,300,0.15116488167904607
channel_eq,rff,600,43,600,0.1491685625413792
channel_eq,rff,1200,43,1200,0.14884129644940478
channel_eq,rff,2400,43,2400,0.1499480275565585
channel_eq,rff,4800,43,4800,0.14984373714848856
channel_eq,poly,w5d2,43,20,0.1664895961419471
channel_eq,poly,w10d2,43,65,0.15138455492616434
channel_eq,poly,w20d2,43,230,0.15717673705715168
channel_eq,poly,w10d3,43,285,0.1520758682250241
channel_eq,poly,w14d3,43,679,0.17208268437126487
channel_eq,classical_control,5,43,5,0.18071402119725183
channel_eq,classical_control,10,43,10,0.16652163096142986
channel_eq,classical_control,20,43,20,0.1667399830235329
channel_eq,classical_control,40,43,40,0.16785270605908667
channel_eq,classical_control,60,43,60,0.16778335077902629
channel_eq,classical_control,80,43,80,0.16731798729148809
channel_eq,photonic,1,44,2340,0.08995731647094156
channel_eq,photonic,2,44,4640,0.08647725996908777
channel_eq,photonic,4,44,9240,0.08801840105440463
channel_eq,photonic,8,44,18440,0.08944756645640806
channel_eq,esn,50,44,51,0.1664049711517923
channel_eq,esn,100,44,101,0.1546726134612421
channel_eq,esn,200,44,201,0.1349928127492628
channel_eq,esn,500,44,501,0.11302678276487609
channel_eq,esn,1000,44,1001,0.09870415553860197
channel_eq,esn,2000,44,2001,0.09781307532062945
channel_eq,esn,4000,44,4001,0.09427610250812249
channel_eq,rff,50,44,50,0.1520451163321898
channel_eq,rff,100,44,100,0.1489926791992582
channel_eq,rff,300,44,300,0.14940175529159122
channel_eq,rff,600,44,600,0.15011053610798888
channel_eq,rff,1200,44,1200,0.14875320442553905
channel_eq,rff,2400,44,2400,0.14880188063963273
channel_eq,rff,4800,44,4800,0.1486425954329293
channel_eq,poly,w5d2,44,20,0.1658884223358562
channel_eq,poly,w10d2,44,65,0.15023178943024396
channel_eq,poly,w20d2,44,230,0.1590459248727616
channel_eq,poly,w10d3,44,285,0.1542508284662018
channel_eq,poly,w14d3,44,679,0.1726323780084988
channel_eq,classical_control,5,44,5,0.18067826058841183
channel_eq,classical_control,10,44,10,0.16829236857282578
channel_eq,classical_control,20,44,20,0.16802953958205588
channel_eq,classical_control,40,44,40,0.16922013737784905
channel_eq,classical_control,60,44,60,0.16949511585566115
channel_eq,classical_control,80,44,80,0.1711526192888604
