dataset,family,setting,seed,feature_dim,nrmse
lorenz63,photonic,1,42,12945,0.15556948956473093
lorenz63,photonic,2,42,25871,0.08527875881993845
lorenz63,esn,50,42,51,0.45681494360773545
lorenz63,esn,100,42,101,0.2918535467415496
lorenz63,esn,200,42,201,0.27187997298336825
lorenz63,esn,500,42,501,0.18918186416293062
lorenz63,esn,1000,42,1001,0.13585835119302883
lorenz63,esn,2000,42,2001,0.23745751629364184
lorenz63,esn,4000,42,4001,0.2097974301516752
lorenz63,rff,50,42,50,0.6298397728952112
lorenz63,rff,100,42,100,0.42503939442490113
lorenz63,rff,300,42,300,0.1319751995163006
lorenz63,rff,600,42,600,0.0859857721964294
lorenz63,rff,1200,42,1200,0.0841400340056026
lorenz63,rff,2400,42,2400,0.09447208633590229
lorenz63,rff,4800,42,4800,0.07243961410009923
lorenz63,poly,w5d2,42,20,0.9291432477909006
lorenz63,poly,w10d2,42,65,0.9184323683647863
lorenz63,poly,w20d2,42,230,0.9201663102228621
lorenz63,poly,w10d3,42,285,0.5235042591208264
lorenz63,poly,w14d3,42,679,0.5078117283543911
lorenz63,classical_control,5,42,5,0.9135088834940334
lorenz63,classical_control,10,42,10,0.8803136726604355
lorenz63,classical_control,20,42,20,0.8840456665985001
lorenz63,classical_control,40,42,40,0.8861303043118043
lorenz63,classical_control,60,42,60,0.883538545625286
lorenz63,classical_control,80,42,80,0.8854750828756883
lorenz63,photonic,1,43,12945,0.38795271144676285
lorenz63,photonic,2,43,25871,0.6183850712564799
lorenz63,esn,50,43,51,0.7177566652711554
lorenz63,esn,100,43,101,0.4057935649849696
lorenz63,esn,200,43,201,1.0189005807411848
lorenz63,esn,500,43,501,1.2962645275225058
lorenz63,esn,1000,43,1001,0.9368640197911877
lorenz63,esn,2000,43,2001,0.7457087867153417
lorenz63,esn,4000,43,4001,0.7142263506872714
lorenz63,rff,50,43,50,1.0999357793334397
lorenz63,rff,100,43,100,0.8988386144817055
lorenz63,rff,300,43,300,0.46429040236814795
lorenz63,rff,600,43,600,11.009462790159564
lorenz63,rff,1200,43,1200,0.7730275741817891
lorenz63,rff,2400,43,2400,0.25913704950280786
lorenz63,rff,4800,43,4800,0.1807201676733116
lorenz63,poly,w5d2,43,20,1.2173700986293943
lorenz63,poly,w10d2,43,65,1.3871363036032052
lorenz63,poly,w20d2,43,230,1.3474163500206917
lorenz63,poly,w10d3,43,285,1.000691598195887
lorenz63,poly,w14d3,43,679,0.9637118642187049
lorenz63,classical_control,5,43,5,1.1656066835441472
lorenz63,classical_control,10,43,10,1.0956879948175284
lorenz63,classical_control,20,43,20,1.1014693101775261
lorenz63,classical_control,40,43,40,1.0711501288627945
lorenz63,classical_control,60,43,60,1.015671226342747
lorenz63,classical_control,80,43,80,1.0271371103423241
lorenz63,photonic,1,44,12945,0.16411998658494123
lorenz63,photonic,2,44,25871,0.20696419830494076
lorenz63,esn,50,44,51,0.5030326112862648
lorenz63,esn,100,44,101,0.3387853972178921
lorenz63,esn,200,44,201,0.4196436019789703
lorenz63,esn,500,44,501,0.27823250656202014
lorenz63,esn,1000,44,1001,0.33961199735233283
lorenz63,esn,2000,44,2001,0.2879871915845984
lorenz63,esn,4000,44,4001,0.31463056889507707
lorenz63,rff,50,44,50,0.9455431965069859
lorenz63,rff,100,44,100,0.7770734353036477
lorenz63,rff,300,44,300,0.31371574978631955
lorenz63,rff,600,44,600,0.2463978323671859
lorenz63,rff,1200,44,1200,0.18459024812500324
lorenz63,rff,2400,44,2400,0.17967466431649728
lorenz63,rff,4800,44,4800,0.1743197193339855
lorenz63,poly,w5d2,44,20,0.9578654089427509
lorenz63,poly,w10d2,44,65,0.98133079548324
lorenz63,poly,w20d2,44,230,1.0102354368812612
lorenz63,poly,w10d3,44,285,1.2251866309305766
lorenz63,poly,w14d3,44,679,1.419757270323047
lorenz63,classical_control,5,44,5,0.9356117345637325
lorenz63,classical_control,10,44,10,0.9102954493987767
lorenz63,classical_control,20,44,20,0.9147865597635436
lorenz63,classical_control,40,44,40,0.9187072876241635
lorenz63,classical_control,60,44,60,0.9582733004903365
lorenz63,classical_control,80,44,80,0.956387353718649
