dataset,family,setting,seed,feature_dim,nrmse
narma10,photonic,1,42,701,0.1730084747479854
narma10,photonic,2,42,1381,0.07126331038753139
narma10,photonic,4,42,2741,0.0893389312492369
narma10,photonic,8,42,5461,0.08248713404825828
narma10,photonic,16,42,10901,0.08253786855333256
narma10,photonic,32,42,21781,0.08146440732414016
narma10,esn,50,42,51,0.39602606374838434
narma10,esn,100,42,101,0.3523248761883068
narma10,esn,200,42,201,0.28825988227178656
narma10,esn,500,42,501,0.2440086266498181
narma10,esn,1000,42,1001,0.18283905752530089
narma10,esn,2000,42,2001,0.19862869320197718
narma10,esn,4000,42,4001,0.16510977541990263
narma10,rff,50,42,50,0.40766528659854345
narma10,rff,100,42,100,0.35959172186487226
narma10,rff,300,42,300,0.254983826219302
narma10,rff,600,42,600,0.17053717457198142
narma10,rff,1200,42,1200,0.1338779044759577
narma10,rff,2400,42,2400,0.1329181369579708
narma10,rff,4800,42,4800,0.12844250673792637
narma10,poly,w5d2,42,20,0.8242346048515041
narma10,poly,w10d2,42,65,0.8436702601634769
narma10,poly,w20d2,42,230,0.21439749248568768
narma10,poly,w10d3,42,285,0.8734311779278763
narma10,poly,w14d3,42,679,0.49999891546316577
narma10,classical_control,5,42,5,0.8338148265707209
narma10,classical_control,10,42,10,0.8324786315781163
narma10,classical_control,20,42,20,0.4021742568822973
narma10,classical_control,40,42,40,0.3480766467021059
narma10,classical_control,60,42,60,0.3550827742594903
narma10,classical_control,80,42,80,0.3642152918121445
narma10,photonic,1,43,701,0.14624200878562127
narma10,photonic,2,43,1381,0.11146859461386034
narma10,photonic,4,43,2741,0.09934654837084636
narma10,photonic,8,43,5461,0.0764131946698661
narma10,photonic,16,43,10901,0.09055428095178455
narma10,photonic,32,43,21781,0.08730057643275886
narma10,esn,50,43,51,0.4232754535540156
narma10,esn,100,43,101,0.39084582248257
narma10,esn,200,43,201,0.35871515642247276
narma10,esn,500,43,501,0.31232862094711383
narma10,esn,1000,43,1001,0.365419238574849
narma10,esn,2000,43,2001,0.2336829919269295
narma10,esn,4000,43,4001,0.2527235528004558
narma10,rff,50,43,50,0.39086079543780927
narma10,rff,100,43,100,0.3829050107485582
narma10,rff,300,43,300,0.3212893524129861
narma10,rff,600,43,600,0.24555135743372788
narma10,rff,1200,43,1200,0.17592970973728042
narma10,rff,2400,43,2400,0.16324114948176205
narma10,rff,4800,43,4800,0.1672148118866665
narma10,poly,w5d2,43,20,0.835289046972472
narma10,poly,w10d2,43,65,0.8998808389612468
narma10,poly,w20d2,43,230,0.24915928203937168
narma10,poly,w10d3,43,285,0.8648024592793739
narma10,poly,w14d3,43,679,0.4037755976102462
narma10,classical_control,5,43,5,0.8042352676382009
narma10,classical_control,10,43,10,0.8284851170625571
narma10,classical_control,20,43,20,0.4088088177458369
narma10,classical_control,40,43,40,0.44455863756007463
narma10,classical_control,60,43,60,0.45046761922254386
narma10,classical_control,80,43,80,0.46160024804253363
narma10,photonic,1,44,701,0.17362719620266878
narma10,photonic,2,44,1381,0.14491955868685336
narma10,photonic,4,44,2741,0.11317209290824844
narma10,photonic,8,44,5461,0.10292850186193149
narma10,photonic,16,44,10901,0.0788521198112374
narma10,photonic,32,44,21781,0.09689500647589053
narma10,esn,50,44,51,0.4373966859118091
narma10,esn,100,44,101,0.35233028054425736
narma10,esn,200,44,201,0.303482225756369
narma10,esn,500,44,501,0.24159764152987245
narma10,esn,1000,44,1001,0.25461821793912115
narma10,esn,2000,44,2001,0.2030937446751057
narma10,esn,4000,44,4001,0.2395909481417882
narma10,rff,50,44,50,0.5694245953481822
narma10,rff,100,44,100,0.3639686590262263
narma10,rff,300,44,300,0.33368041406412957
narma10,rff,600,44,600,0.29585881934744007
narma10,rff,1200,44,1200,0.252897417322336
narma10,rff,2400,44,2400,0.22592771729664463
narma10,rff,4800,44,4800,0.22358067060734338
narma10,poly,w5d2,44,20,0.8446490889691504
narma10,poly,w10d2,44,65,0.8710035338869196
narma10,poly,w20d2,44,230,0.25094261003806323
narma10,poly,w10d3,44,285,0.8883276213767877
narma10,poly,w14d3,44,679,0.46599338378282457
narma10,classical_control,5,44,5,0.8513533144185932
narma10,classical_control,10,44,10,0.8607997733325614
narma10,classical_control,20,44,20,0.4336141696990426
narma10,classical_control,40,44,40,0.3569398019900075
narma10,classical_control,60,44,60,0.3553277284022842
narma10,classical_control,80,44,80,0.36953360497537824
