dataset,family,setting,seed,feature_dim,nrmse
narma10_long,photonic,1,42,1179,0.21826615685219028
narma10_long,photonic,2,42,2319,0.21019208398107708
narma10_long,photonic,4,42,4599,0.2110897357126066
narma10_long,photonic,8,42,9159,0.2116292368128124
narma10_long,photonic,16,42,18279,0.2124068077247229
narma10_long,esn,50,42,51,0.515835004643107
narma10_long,esn,100,42,101,0.44826458483160414
narma10_long,esn,200,42,201,0.3797984651195639
narma10_long,esn,500,42,501,0.2898728052718683
narma10_long,esn,1000,42,1001,0.2887616072990835
narma10_long,esn,2000,42,2001,0.2809087782951805
narma10_long,esn,4000,42,4001,0.2788620776747801
narma10_long,rff,50,42,50,0.45853172348172333
narma10_long,rff,100,42,100,0.40040511538385065
narma10_long,rff,300,42,300,0.300775703132667
narma10_long,rff,600,42,600,0.24793102377926754
narma10_long,rff,1200,42,1200,0.23360354133042055
narma10_long,rff,2400,42,2400,0.23262535007340454
narma10_long,rff,4800,42,4800,0.23269792385767704
narma10_long,poly,w5d2,42,20,0.8592087670611082
narma10_long,poly,w10d2,42,65,0.8441499925518496
narma10_long,poly,w20d2,42,230,0.3125189013788718
narma10_long,poly,w10d3,42,285,0.8557510609808113
narma10_long,poly,w14d3,42,679,0.42876016775018716
narma10_long,classical_control,5,42,5,0.8558489560164285
narma10_long,classical_control,10,42,10,0.8362850403927731
narma10_long,classical_control,20,42,20,0.46695126201940257
narma10_long,classical_control,40,42,40,0.42053113549646925
narma10_long,classical_control,60,42,60,0.4241228766035891
narma10_long,classical_control,80,42,80,0.42443614440843813
narma10_long,photonic,1,43,1179,0.1154083533124687
narma10_long,photonic,2,43,2319,0.0987237769409271
narma10_long,photonic,4,43,4599,0.0940126493683952
narma10_long,photonic,8,43,9159,0.09209023387276623
narma10_long,photonic,16,43,18279,0.09013216945366564
narma10_long,esn,50,43,51,0.45057048077614137
narma10_long,esn,100,43,101,0.4552067148530106
narma10_long,esn,200,43,201,0.28416876576405975
narma10_long,esn,500,43,501,0.16054359121718761
narma10_long,esn,1000,43,1001,0.15525745408442942
narma10_long,esn,2000,43,2001,0.15197065531900764
narma10_long,esn,4000,43,4001,0.14416230789305587
narma10_long,rff,50,43,50,0.40783918943036634
narma10_long,rff,100,43,100,0.3813979481403778
narma10_long,rff,300,43,300,0.246861739102859
narma10_long,rff,600,43,600,0.1321960761224689
narma10_long,rff,1200,43,1200,0.1182963528219839
narma10_long,rff,2400,43,2400,0.11785511758117248
narma10_long,rff,4800,43,4800,0.11647925649311425
narma10_long,poly,w5d2,43,20,0.81560079539346
narma10_long,poly,w10d2,43,65,0.813198725215152
narma10_long,poly,w20d2,43,230,0.20156107370028778
narma10_long,poly,w10d3,43,285,0.8282958708034969
narma10_long,poly,w14d3,43,679,0.35052561075409616
narma10_long,classical_control,5,43,5,0.8146553839477912
narma10_long,classical_control,10,43,10,0.8047796183509699
narma10_long,classical_control,20,43,20,0.42470481882530725
narma10_long,classical_control,40,43,40,0.39717316342827397
narma10_long,classical_control,60,43,60,0.39973741046818306
narma10_long,classical_control,80,43,80,0.3950516243909908
narma10_long,photonic,1,44,1179,0.1294335087939816
narma10_long,photonic,2,44,2319,0.12620975394276904
narma10_long,photonic,4,44,4599,0.12602643469162192
narma10_long,photonic,8,44,9159,0.12518106146755917
narma10_long,photonic,16,44,18279,0.12129989194567933
narma10_long,esn,50,44,51,0.41140264158648937
narma10_long,esn,100,44,101,0.4009270691002148
narma10_long,esn,200,44,201,0.324014645303394
narma10_long,esn,500,44,501,0.22208458940573486
narma10_long,esn,1000,44,1001,0.1977287132197258
narma10_long,esn,2000,44,2001,0.1973153250856075
narma10_long,esn,4000,44,4001,0.19504024314566992
narma10_long,rff,50,44,50,0.39096599887930633
narma10_long,rff,100,44,100,0.3492382487565359
narma10_long,rff,300,44,300,0.25865256502690337
narma10_long,rff,600,44,600,0.15413826484768076
narma10_long,rff,1200,44,1200,0.13335877221530448
narma10_long,rff,2400,44,2400,0.13318271822305716
narma10_long,rff,4800,44,4800,0.1288709107019366
narma10_long,poly,w5d2,44,20,0.8494299095159549
narma10_long,poly,w10d2,44,65,0.8322382716772995
narma10_long,poly,w20d2,44,230,0.2116382243663102
narma10_long,poly,w10d3,44,285,0.8496954193033187
narma10_long,poly,w14d3,44,679,0.39111352376934283
narma10_long,classical_control,5,44,5,0.8398434217016426
narma10_long,classical_control,10,44,10,0.8202047304702043
narma10_long,classical_control,20,44,20,0.39812105007144627
narma10_long,classical_control,40,44,40,0.38440700331479183
narma10_long,classical_control,60,44,60,0.3867201816914483
narma10_long,classical_control,80,44,80,0.39227768608538116
