dataset,family,setting,seed,feature_dim,nrmse
narma10_long,photonic,1,42,86,0.32740753990980026
narma10_long,photonic,2,42,152,0.2744712688225076
narma10_long,photonic,4,42,284,0.24269489707525257
narma10_long,photonic,8,42,548,0.26952990148057165
narma10_long,photonic,16,42,1076,0.2584538828279442
narma10_long,photonic,32,42,2132,0.25859156294264285
narma10_long,esn,50,42,51,0.40974153709898187
narma10_long,esn,100,42,101,0.38063188020314054
narma10_long,esn,200,42,201,0.3787518536176045
narma10_long,esn,500,42,501,0.30169116353920084
narma10_long,esn,1000,42,1001,0.2497624271027505
narma10_long,esn,2000,42,2001,0.23915932608112353
narma10_long,esn,4000,42,4001,0.2364186309921006
narma10_long,rff,50,42,50,0.9062106031919271
narma10_long,rff,100,42,100,0.8081611590269079
narma10_long,rff,300,42,300,0.6987011219715307
narma10_long,rff,600,42,600,0.6055958219301809
narma10_long,rff,1200,42,1200,0.5229258852717105
narma10_long,rff,2400,42,2400,0.4984403650308118
narma10_long,rff,4800,42,4800,0.4542747325926168
narma10_long,poly,w5d2,42,20,0.8592087670611082
narma10_long,poly,w10d2,42,65,0.8441499925518496
narma10_long,poly,w20d2,42,230,0.3125189013788718
narma10_long,poly,w10d3,42,285,0.8557510609808113
narma10_long,poly,w14d3,42,679,0.42876016775018716
narma10_long,classical_control,5,42,5,0.8558489560164285
narma10_long,classical_control,10,42,10,0.8362850403927731
narma10_long,classical_control,20,42,20,0.46695126201940257
narma10_long,classical_control,40,42,40,0.42053113549646925
narma10_long,classical_control,60,42,60,0.4241228766035891
narma10_long,classical_control,80,42,80,0.42443614440843813
narma10_long,photonic,1,43,86,0.2631111455356447
narma10_long,photonic,2,43,152,0.25148751812966447
narma10_long,photonic,4,43,284,0.26541891567056425
narma10_long,photonic,8,43,548,0.24619329160526543
narma10_long,photonic,16,43,1076,0.24089577514684132
narma10_long,photonic,32,43,2132,0.23752778427214624
narma10_long,esn,50,43,51,0.3868351274378494
narma10_long,esn,100,43,101,0.336244665810062
narma10_long,esn,200,43,201,0.2820062315689437
narma10_long,esn,500,43,501,0.1992877001757609
narma10_long,esn,1000,43,1001,0.13630877697198038
narma10_long,esn,2000,43,2001,0.12285593794295376
narma10_long,esn,4000,43,4001,0.10545550304779518
narma10_long,rff,50,43,50,0.9414231840938311
narma10_long,rff,100,43,100,0.8368569035314378
narma10_long,rff,300,43,300,0.7315751686268331
narma10_long,rff,600,43,600,0.5830965255681103
narma10_long,rff,1200,43,1200,0.5657048232458286
narma10_long,rff,2400,43,2400,0.46742099459054026
narma10_long,rff,4800,43,4800,0.4522708167278959
narma10_long,poly,w5d2,43,20,0.81560079539346
narma10_long,poly,w10d2,43,65,0.813198725215152
narma10_long,poly,w20d2,43,230,0.20156107370028778
narma10_long,poly,w10d3,43,285,0.8282958708034969
narma10_long,poly,w14d3,43,679,0.35052561075409616
narma10_long,classical_control,5,43,5,0.8146553839477912
narma10_long,classical_control,10,43,10,0.8047796183509699
narma10_long,classical_control,20,43,20,0.42470481882530725
narma10_long,classical_control,40,43,40,0.39717316342827397
narma10_long,classical_control,60,43,60,0.39973741046818306
narma10_long,classical_control,80,43,80,0.3950516243909908
narma10_long,photonic,1,44,86,0.2712135050753486
narma10_long,photonic,2,44,152,0.2384258641441802
narma10_long,photonic,4,44,284,0.2421755826997897
narma10_long,photonic,8,44,548,0.23620748639923891
narma10_long,photonic,16,44,1076,0.22379286559146322
narma10_long,photonic,32,44,2132,0.23533528153601896
narma10_long,esn,50,44,51,0.3634047586103331
narma10_long,esn,100,44,101,0.40805818052216375
narma10_long,esn,200,44,201,0.2474210538765154
narma10_long,esn,500,44,501,0.21601495374096458
narma10_long,esn,1000,44,1001,0.20817492476542734
narma10_long,esn,2000,44,2001,0.1835510491062732
narma10_long,esn,4000,44,4001,0.19253181560330898
narma10_long,rff,50,44,50,0.953613652315096
narma10_long,rff,100,44,100,0.9059146517050141
narma10_long,rff,300,44,300,0.7244625713728057
narma10_long,rff,600,44,600,0.639873184960556
narma10_long,rff,1200,44,1200,0.5528879408049875
narma10_long,rff,2400,44,2400,0.5290598662846449
narma10_long,rff,4800,44,4800,0.49860184038225186
narma10_long,poly,w5d2,44,20,0.8494299095159549
narma10_long,poly,w10d2,44,65,0.8322382716772995
narma10_long,poly,w20d2,44,230,0.2116382243663102
narma10_long,poly,w10d3,44,285,0.8496954193033187
narma10_long,poly,w14d3,44,679,0.39111352376934283
narma10_long,classical_control,5,44,5,0.8398434217016426
narma10_long,classical_control,10,44,10,0.8202047304702043
narma10_long,classical_control,20,44,20,0.39812105007144627
narma10_long,classical_control,40,44,40,0.38440700331479183
narma10_long,classical_control,60,44,60,0.3867201816914483
narma10_long,classical_control,80,44,80,0.39227768608538116
