family,setting,seed,dim,nrmse
esn,4000,42,4001,0.09482753005151036
esn,8000,42,8001,0.09166711116706462
esn,16000,42,16001,0.09276493405777181
rff,4800,42,4800,0.149859892213439
rff,9600,42,9600,0.15009549221731372
rff,16000,42,16000,0.14980321987398065
esn,4000,43,4001,0.09771354595004408
esn,8000,43,8001,0.0949490330605733
esn,16000,43,16001,0.09504433409817661
rff,4800,43,4800,0.14984373714848856
rff,9600,43,9600,0.14980859880718703
rff,16000,43,16000,0.15034012017889276
esn,4000,44,4001,0.09427610250812249
esn,8000,44,8001,0.09473897796984385
esn,16000,44,16001,0.09675429849273982
rff,4800,44,4800,0.1486425954329293
rff,9600,44,9600,0.14857573912365152
rff,16000,44,16000,0.14861226931209132
