family,setting,seed,dim,nrmse
photonic,1,42,2340,0.3920970900488368
esn,1000,42,1001,0.10258855629827099
esn,2000,42,2001,0.09854655021594227
rff,1200,42,1200,0.15024419697609628
rff,2400,42,2400,0.14938315335437727
poly,w8d3,42,164,0.15195207918913214
classical_control,40,42,40,0.1719634116741056
photonic,1,43,2340,0.3983908498113822
esn,1000,43,1001,0.10466637120728041
esn,2000,43,2001,0.10081913442336153
rff,1200,43,1200,0.14884129644940478
rff,2400,43,2400,0.1499480275565585
poly,w8d3,43,164,0.14722477335741596
classical_control,40,43,40,0.16785270605908667
photonic,1,44,2340,0.3673443862577022
esn,1000,44,1001,0.09870415553860197
esn,2000,44,2001,0.09781307532062945
rff,1200,44,1200,0.14875320442553905
rff,2400,44,2400,0.14880188063963273
poly,w8d3,44,164,0.15054161417113807
classical_control,40,44,40,0.16922013737784905
