res_size,leak,spectral_radius,linear_MC
50,0.1,0.6,3.897200544047762
50,0.1,0.9,4.210619610002982
50,0.1,1.1,4.271445920276775
50,0.3,0.6,6.347520186531315
50,0.3,0.9,7.113319795761847
50,0.3,1.1,7.1097755856432245
50,0.5,0.6,6.807175127193616
50,0.5,0.9,7.965746906480269
50,0.5,1.1,8.027992121517268
50,0.9,0.6,7.840646325242549
50,0.9,0.9,9.59402378877557
50,0.9,1.1,10.885648755415524
100,0.1,0.6,4.163802982871822
100,0.1,0.9,4.616106242191535
100,0.1,1.1,4.787543831090991
100,0.3,0.6,7.186741769598511
100,0.3,0.9,8.338171194907417
100,0.3,1.1,8.713247112385636
100,0.5,0.6,7.987452325052618
100,0.5,0.9,9.893292620811314
100,0.5,1.1,10.805917881070979
100,0.9,0.6,10.364178857020729
100,0.9,0.9,13.808413121689957
100,0.9,1.1,15.503523469580653
200,0.1,0.6,4.251492298158346
200,0.1,0.9,4.625024418798873
200,0.1,1.1,4.761096298073541
200,0.3,0.6,7.374632571274709
200,0.3,0.9,8.184495215379215
200,0.3,1.1,8.387727918963398
200,0.5,0.6,8.369479876265158
200,0.5,0.9,10.421961344654257
200,0.5,1.1,10.794629154881795
200,0.9,0.6,11.501722575952
200,0.9,0.9,15.772709825873164
200,0.9,1.1,17.85040691926205
500,0.1,0.6,4.399863181519548
500,0.1,0.9,4.700286364016393
500,0.1,1.1,4.316147696919818
500,0.3,0.6,7.747801351241978
500,0.3,0.9,8.536781196634605
500,0.3,1.1,7.785289705484898
500,0.5,0.6,9.195286527236359
500,0.5,0.9,10.958900397449886
500,0.5,1.1,9.584305332022527
500,0.9,0.6,13.300044043910294
500,0.9,0.9,17.907996977952415
500,0.9,1.1,20.06883844750508
1000,0.1,0.6,4.456008458723358
1000,0.1,0.9,4.577007508883365
1000,0.1,1.1,2.4268205741293767
1000,0.3,0.6,7.733424328051986
1000,0.3,0.9,8.105745023673288
1000,0.3,1.1,5.480483132136038
1000,0.5,0.6,9.281922800629523
1000,0.5,0.9,10.186105181208696
1000,0.5,1.1,7.455163406215218
1000,0.9,0.6,13.807728317513893
1000,0.9,0.9,18.45585290349947
1000,0.9,1.1,19.354824263653494
2000,0.1,0.6,4.465773313853487
2000,0.1,0.9,4.348512993444474
2000,0.1,1.1,1.9152075525937309
2000,0.3,0.6,7.809527256175677
2000,0.3,0.9,7.809586722793846
2000,0.3,1.1,4.673608050588812
2000,0.5,0.6,9.479333365928767
2000,0.5,0.9,9.693154418763392
2000,0.5,1.1,6.7843588683208536
2000,0.9,0.6,14.268201373720014
2000,0.9,0.9,18.460420248094625
2000,0.9,1.1,18.138047651797702
