dataset,g_fb,seed,nrmse
narma5,0.0,42,0.02340036639413986
narma5,0.005,42,0.0073171842090670736
narma5,0.01,42,0.00703192134606432
narma5,0.02,42,0.006517753350804362
narma5,0.05,42,0.005242894979291028
narma5,0.1,42,0.006468993984819801
narma5,0.3,42,0.7426568814124849
narma5,0.6,42,0.9745703615548094
narma5,1.0,42,0.9981359364974474
narma5,2.0,42,1.01205104271255
narma5,3.0,42,1.0185485335321518
narma5,0.0,43,0.026016741105880304
narma5,0.005,43,0.009601799638305337
narma5,0.01,43,0.008968179619183246
narma5,0.02,43,0.008172217433006834
narma5,0.05,43,0.007048000528822428
narma5,0.1,43,0.007285808382345994
narma5,0.3,43,0.5144202922655012
narma5,0.6,43,0.9968427908824862
narma5,1.0,43,1.0040882506357736
narma5,2.0,43,1.0127811421942003
narma5,3.0,43,1.0035091955793807
narma5,0.0,44,0.025917000937901134
narma5,0.005,44,0.009845210525374041
narma5,0.01,44,0.009103577804244596
narma5,0.02,44,0.007598608624453128
narma5,0.05,44,0.0061998583423739555
narma5,0.1,44,0.006566300419789497
narma5,0.3,44,0.43713491406851673
narma5,0.6,44,0.9941361141271636
narma5,1.0,44,1.0199446266498113
narma5,2.0,44,1.0030369960530092
narma5,3.0,44,1.0043843523103722
narma5,0.0,45,0.024385443064516017
narma5,0.005,45,0.007055746200135653
narma5,0.01,45,0.006438762864777023
narma5,0.02,45,0.006421271017591626
narma5,0.05,45,0.007113444043274212
narma5,0.1,45,0.008617144142178361
narma5,0.3,45,0.5106829680156859
narma5,0.6,45,1.003243732018907
narma5,1.0,45,1.008514390511468
narma5,2.0,45,1.0089474270782215
narma5,3.0,45,1.0048250846020366
narma5,0.0,46,0.023884261135867293
narma5,0.005,46,0.010004313815017641
narma5,0.01,46,0.009768172674134093
narma5,0.02,46,0.009128866202653609
narma5,0.05,46,0.00908974543594843
narma5,0.1,46,0.009756302274521457
narma5,0.3,46,0.5852500997877053
narma5,0.6,46,1.133620161943383
narma5,1.0,46,1.1184239501469688
narma5,2.0,46,1.121315710322564
narma5,3.0,46,1.1092592035194082
