sweep,seed,nrmse,shots,spec,indist,g2
reference,42,0.24792324736000118,0,noiseless,,
reference,42,0.3480766467021059,0,classical_control,,
shots,42,0.522792125209393,30,ascella,,
shots,43,0.4524452042534535,30,ascella,,
shots,44,0.4949353235547468,30,ascella,,
shots,42,0.5803978237813863,100,ascella,,
shots,43,0.47774179111557497,100,ascella,,
shots,44,0.5438501757527652,100,ascella,,
shots,42,0.48058933309817353,300,ascella,,
shots,43,0.44232512691082215,300,ascella,,
shots,44,0.46502078944167685,300,ascella,,
shots,42,0.45692989327102673,1000,ascella,,
shots,43,0.40771320263153354,1000,ascella,,
shots,44,0.3692855401189344,1000,ascella,,
shots,42,0.44668106174275285,3000,ascella,,
shots,43,0.35191352746893695,3000,ascella,,
shots,44,0.41288626104231674,3000,ascella,,
shots,42,0.371900655464318,10000,ascella,,
shots,43,0.3974578599309109,10000,ascella,,
shots,44,0.3701500993087163,10000,ascella,,
shots,42,0.31319011572395955,30000,ascella,,
shots,43,0.37386065839761035,30000,ascella,,
shots,44,0.34286164312952655,30000,ascella,,
shots,42,0.24829534600474837,0,ascella,,
shots,43,0.303900982843801,0,ascella,,
shots,44,0.2722025533720372,0,ascella,,
indist,42,0.24843073650520456,0,V=0.50,0.5,
indist,42,0.2482282631592133,0,V=0.60,0.6,
indist,42,0.24831851254997545,0,V=0.70,0.7,
indist,42,0.24684070453717288,0,V=0.80,0.8,
indist,42,0.24781143165199035,0,V=0.85,0.85,
indist,42,0.24861319716572697,0,V=0.90,0.9,
indist,42,0.24831260667776983,0,V=0.95,0.95,
indist,42,0.24792324735999927,0,V=1.00,1.0,
g2,42,0.24792324735999927,0,g2=0.00,,0.0
g2,42,0.2480353872834449,0,g2=0.02,,0.02
g2,42,0.24820795565559828,0,g2=0.05,,0.05
g2,42,0.24850645466469765,0,g2=0.10,,0.1
g2,42,0.24917199590909234,0,g2=0.20,,0.2
g2,42,0.24976117696262087,0,g2=0.30,,0.3
hardware,42,0.44974163458273325,1000,ideal,,
hardware,43,0.3474985965628379,1000,ideal,,
hardware,44,0.3724739760022813,1000,ideal,,
hardware,42,0.36346922559158895,10000,ideal,,
hardware,43,0.4168221875086408,10000,ideal,,
hardware,44,0.2970112116136975,10000,ideal,,
hardware,42,0.24792324735999927,0,ideal,,
hardware,43,0.2986930550687763,0,ideal,,
hardware,44,0.27203360839295243,0,ideal,,
hardware,42,0.45692989327102673,1000,ascella,,
hardware,43,0.40771320263153354,1000,ascella,,
hardware,44,0.3692855401189344,1000,ascella,,
hardware,42,0.371900655464318,10000,ascella,,
hardware,43,0.3974578599309109,10000,ascella,,
hardware,44,0.3701500993087163,10000,ascella,,
hardware,42,0.24829534600474837,0,ascella,,
hardware,43,0.303900982843801,0,ascella,,
hardware,44,0.2722025533720372,0,ascella,,
hardware,42,0.4678259551640619,1000,belenos,,
hardware,43,0.4465835651465555,1000,belenos,,
hardware,44,0.4152113319155963,1000,belenos,,
hardware,42,0.37636607543580314,10000,belenos,,
hardware,43,0.37550738991339794,10000,belenos,,
hardware,44,0.3556913607712641,10000,belenos,,
hardware,42,0.2464894845864269,0,belenos,,
hardware,43,0.3031027010149841,0,belenos,,
hardware,44,0.2704850196125772,0,belenos,,
joint,42,0.49051366117564577,300,V=0.70,0.7,
joint,43,0.4183647039268821,300,V=0.70,0.7,
joint,42,0.4114325731202751,3000,V=0.70,0.7,
joint,43,0.36302856647740417,3000,V=0.70,0.7,
joint,42,0.3424693507753033,30000,V=0.70,0.7,
joint,43,0.3828080666166635,30000,V=0.70,0.7,
joint,42,0.48990893329108454,300,V=0.85,0.85,
joint,43,0.5220892625131058,300,V=0.85,0.85,
joint,42,0.4577558685541857,3000,V=0.85,0.85,
joint,43,0.365438709207825,3000,V=0.85,0.85,
joint,42,0.3328711238667615,30000,V=0.85,0.85,
joint,43,0.3300596761464214,30000,V=0.85,0.85,
joint,42,0.45400685397702967,300,V=1.00,1.0,
joint,43,0.4037961052051504,300,V=1.00,1.0,
joint,42,0.39458968965837976,3000,V=1.00,1.0,
joint,43,0.42158545933618014,3000,V=1.00,1.0,
joint,42,0.29969114971281247,30000,V=1.00,1.0,
joint,43,0.3675247205341042,30000,V=1.00,1.0,
