dataset,n_photons,visibility,seed,nrmse
narma10,2,0.0,42,0.27104118019215184
narma10,2,0.0,43,0.22278713884777582
narma10,2,0.0,44,0.24647681399443291
narma10,2,0.25,42,0.24916149846891472
narma10,2,0.25,43,0.22081100210924293
narma10,2,0.25,44,0.250136958379714
narma10,2,0.5,42,0.23774119143444866
narma10,2,0.5,43,0.211324029811391
narma10,2,0.5,44,0.25197895022755956
narma10,2,0.75,42,0.24443777666640767
narma10,2,0.75,43,0.2164632961086346
narma10,2,0.75,44,0.2503354376207409
narma10,2,1.0,42,0.26908620272061445
narma10,2,1.0,43,0.23733377963075428
narma10,2,1.0,44,0.23728936962089692
narma10,3,0.0,42,0.22248864935127144
narma10,3,0.0,43,0.20225095275203625
narma10,3,0.0,44,0.25335046713743864
narma10,3,0.25,42,0.20748873960504824
narma10,3,0.25,43,0.21102957956717447
narma10,3,0.25,44,0.23195740414512417
narma10,3,0.5,42,0.18760180335062676
narma10,3,0.5,43,0.21886281701232843
narma10,3,0.5,44,0.2489688346580202
narma10,3,0.75,42,0.20979169408704829
narma10,3,0.75,43,0.20904045248243797
narma10,3,0.75,44,0.24697789310230295
narma10,3,1.0,42,0.21977633502919283
narma10,3,1.0,43,0.21755850851093855
narma10,3,1.0,44,0.28709660143737975
parity_d3,2,0.0,42,0.7561432756100293
parity_d3,2,0.0,43,0.750647996945666
parity_d3,2,0.0,44,0.688725691812257
parity_d3,2,0.25,42,0.7469995835657074
parity_d3,2,0.25,43,0.7658520575840941
parity_d3,2,0.25,44,0.6902624416708738
parity_d3,2,0.5,42,0.758116662935866
parity_d3,2,0.5,43,0.7703848774482575
parity_d3,2,0.5,44,0.7885406899795135
parity_d3,2,0.75,42,0.7504672383067694
parity_d3,2,0.75,43,0.7747226394108874
parity_d3,2,0.75,44,0.7871521965248963
parity_d3,2,1.0,42,0.74057913349682
parity_d3,2,1.0,43,0.796219945432656
parity_d3,2,1.0,44,0.7901143792847303
parity_d3,3,0.0,42,0.3140038615728152
parity_d3,3,0.0,43,0.21174467479930678
parity_d3,3,0.0,44,0.3303846111832154
parity_d3,3,0.25,42,0.23634738646512643
parity_d3,3,0.25,43,0.2435227524127511
parity_d3,3,0.25,44,0.3172492137372854
parity_d3,3,0.5,42,0.24943733530625978
parity_d3,3,0.5,43,0.23215836991078118
parity_d3,3,0.5,44,0.3102180208417194
parity_d3,3,0.75,42,0.2891115819647617
parity_d3,3,0.75,43,0.31073259996014974
parity_d3,3,0.75,44,0.3614357884430073
parity_d3,3,1.0,42,0.38351729007658014
parity_d3,3,1.0,43,0.41444360962800914
parity_d3,3,1.0,44,0.37382470290638375
channel_eq,2,0.0,42,0.17197532845061686
channel_eq,2,0.0,43,0.17543343004664483
channel_eq,2,0.0,44,0.17263711809373963
channel_eq,2,0.25,42,0.17250634323031028
channel_eq,2,0.25,43,0.1754637686228405
channel_eq,2,0.25,44,0.17195617602153715
channel_eq,2,0.5,42,0.17265964528430416
channel_eq,2,0.5,43,0.17454542967187064
channel_eq,2,0.5,44,0.1719130995408225
channel_eq,2,0.75,42,0.17268303782367367
channel_eq,2,0.75,43,0.1730958673276944
channel_eq,2,0.75,44,0.1720216032603316
channel_eq,2,1.0,42,0.1730196614126449
channel_eq,2,1.0,43,0.17278151834843458
channel_eq,2,1.0,44,0.17208518079949503
channel_eq,3,0.0,42,0.17306058646678346
channel_eq,3,0.0,43,0.1717155478298244
channel_eq,3,0.0,44,0.17246521246783472
channel_eq,3,0.25,42,0.17262508213379996
channel_eq,3,0.25,43,0.17078346436364536
channel_eq,3,0.25,44,0.17230712991148403
channel_eq,3,0.5,42,0.17148426335836756
channel_eq,3,0.5,43,0.17250524195659364
channel_eq,3,0.5,44,0.17460036885877786
channel_eq,3,0.75,42,0.17077892921134735
channel_eq,3,0.75,43,0.174070412976818
channel_eq,3,0.75,44,0.17412141899873002
channel_eq,3,1.0,42,0.17134990845820472
channel_eq,3,1.0,43,0.17596812454621252
channel_eq,3,1.0,44,0.17369632451898528
henon,2,0.0,42,0.8811084411658068
henon,2,0.0,43,0.8753967336765682
henon,2,0.0,44,0.8886728232141456
henon,2,0.25,42,0.8847141278396089
henon,2,0.25,43,0.8785003343181333
henon,2,0.25,44,0.8974721394442163
henon,2,0.5,42,0.8823687242061005
henon,2,0.5,43,0.8798856092419366
henon,2,0.5,44,0.8908246678766223
henon,2,0.75,42,0.8833651111111699
henon,2,0.75,43,0.8940473676021774
henon,2,0.75,44,0.8869686147265243
henon,2,1.0,42,0.882964115353676
henon,2,1.0,43,0.9022142355096093
henon,2,1.0,44,0.8808291127501104
henon,3,0.0,42,0.8863318902182595
henon,3,0.0,43,0.8721795413967914
henon,3,0.0,44,0.8810528566279812
henon,3,0.25,42,0.8854359985410399
henon,3,0.25,43,0.8739126954428752
henon,3,0.25,44,0.8749969003908228
henon,3,0.5,42,0.8782862030719455
henon,3,0.5,43,0.8715598190165748
henon,3,0.5,44,0.875333282459053
henon,3,0.75,42,0.8909476747758015
henon,3,0.75,43,0.8753117726611641
henon,3,0.75,44,0.8768633870980898
henon,3,1.0,42,0.8939225597605798
henon,3,1.0,43,0.8793007464599831
henon,3,1.0,44,0.8848956568670853
