,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.025,0.217,0.000,0.028,0.176,0.194,0.000,0.000,0.529,0.000,0.000
AR3,2.244,,0.004,0.001,0.003,0.604,0.979,0.000,0.000,0.825,0.000,0.000
HAR,-1.234,-2.879,,0.000,0.087,0.048,0.043,0.000,0.000,0.365,0.000,0.000
LSTM,3.838,3.422,3.911,,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000
RC,-2.197,-3.021,-1.710,-4.503,,0.006,0.004,0.000,0.000,0.111,0.000,0.000
Classical-Ridge,1.353,0.518,1.976,-4.995,2.755,,0.643,0.000,0.000,0.982,0.000,0.000
HPT-QRC,1.298,0.026,2.024,-3.403,2.884,-0.463,,0.000,0.000,0.830,0.000,0.000
ARMAX,5.554,5.234,5.536,4.272,6.128,6.302,5.225,,0.000,0.000,0.000,0.000
HARX,-5.765,-5.981,-5.400,-7.425,-4.359,-6.321,-5.862,-8.296,,0.000,0.002,0.192
LSTMX,0.630,0.221,0.907,-7.796,1.593,-0.023,0.214,-7.601,6.427,,0.000,0.000
RCX,-7.478,-7.571,-6.944,-9.058,-6.132,-8.158,-7.617,-9.713,-3.070,-8.363,,0.000
HPT-QRC-X,-5.450,-5.713,-5.021,-7.191,-4.019,-6.035,-5.734,-8.119,1.305,-6.006,3.594,
