Dataset,Model,MSE_mean,MSE_std,QLIKE_mean,QLIKE_std
NARMA10,AR1,0.006427138938429544,0.0009205904853938689,4.330653369690806,0.5190288349957838
NARMA10,AR3,0.006406876051866311,0.0010122329462711752,4.321513410401473,0.5274021515794198
NARMA10,HAR,0.006198777489368543,0.0010673785910228935,4.189719891673151,0.5309061003646102
NARMA10,RC,0.005944250229551593,0.0009127754760992286,4.045630607198541,0.4479296254683678
NARMA10,Classical-Ridge,0.0068702151532183025,0.0009230562451470503,4.601519886226046,0.3919333640385251
NARMA10,HPT-QRC,0.006565286128037358,0.0009978795259468457,4.482301452502904,0.6768914108681462
NARMA10,HARX,0.00381616422180821,0.00047260904803600993,2.4100794223625264,0.24467538180721055
NARMA10,HPT-QRC-X,0.004427296617130856,0.000354601248416837,2.7699172284041653,0.3809005854053029
Mackey_Glass,AR1,0.00121062448053643,6.200415629491089e-05,0.2067068693515893,0.016464840815194896
Mackey_Glass,AR3,6.5428567478009395e-06,4.141098810720895e-07,0.001067209072853803,7.983575885144847e-05
Mackey_Glass,HAR,0.00013777944046774044,8.523461768348793e-06,0.020232419457012707,0.001073533848315431
Mackey_Glass,RC,1.0526012392342112e-05,8.460840678905036e-07,0.0015611215472104867,0.00015949543983996407
Mackey_Glass,Classical-Ridge,0.0015961771357743703,7.530341156738089e-05,0.27258987389848766,0.02281052510128104
Mackey_Glass,HPT-QRC,1.8647807025722915e-06,2.5039841953239086e-07,0.00026430491190354566,3.569305047599133e-05
Mackey_Glass,HARX,9.202331429121524e-05,4.800232568049143e-06,0.014554669153600486,0.0006552342408574296
Mackey_Glass,HPT-QRC-X,8.24797818194587e-07,2.48118267802636e-07,0.00010358128538183742,3.0238524394057848e-05
SP500_RV,AR1,0.01134359203527869,0.0,0.9469349337246108,1.1102230246251565e-16
SP500_RV,AR3,0.010359712981496594,0.0,0.8663800957665606,0.0
SP500_RV,HAR,0.010481868618765202,0.0,0.8755495184621651,0.0
SP500_RV,RC,0.010729659593074503,0.00016641773043089708,0.907305441092217,0.016087513098602575
SP500_RV,Classical-Ridge,0.010949544147480433,0.0,0.9245714451805027,0.0
SP500_RV,HPT-QRC,0.011022130264977548,6.713998294711156e-05,0.9248153342428654,0.006323906751584818
SP500_RV,HARX,0.009862582220247712,0.0,0.8328247564477864,0.0
SP500_RV,HPT-QRC-X,0.015292095196818562,0.00037779942452676997,1.310792521358878,0.020912420399036936
