,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.029,0.075,0.002,0.197,0.632,0.641,0.009,0.018,0.016,0.004,0.135
AR3,-2.190,,0.634,0.000,0.319,0.278,0.313,0.001,0.203,0.001,0.004,0.026
HAR,-1.780,0.476,,0.000,0.648,0.327,0.412,0.001,0.074,0.001,0.004,0.028
LSTM,3.140,3.763,3.758,,0.000,0.000,0.000,0.009,0.000,0.000,0.006,0.033
RC,-1.289,0.996,0.456,-3.782,,0.602,0.609,0.001,0.073,0.001,0.004,0.035
Classical-Ridge,-0.479,1.086,0.979,-4.351,0.522,,0.962,0.000,0.032,0.000,0.004,0.015
HPT-QRC,-0.467,1.008,0.821,-3.523,0.511,0.047,,0.003,0.078,0.004,0.004,0.043
ARMAX,2.602,3.435,3.423,-2.612,3.445,3.955,2.966,,0.000,0.525,0.005,0.613
HARX,-2.357,-1.274,-1.786,-4.109,-1.790,-2.139,-1.763,-3.864,,0.000,0.004,0.009
LSTMX,2.411,3.368,3.314,-3.600,3.413,4.123,2.853,-0.636,4.027,,0.005,0.764
RCX,2.860,2.882,2.878,2.739,2.877,2.869,2.883,2.788,2.891,2.787,,0.006
HPT-QRC-X,1.494,2.221,2.200,-2.133,2.109,2.423,2.022,-0.506,2.621,-0.300,-2.772,
