,AR1,AR3,HAR,LSTM,RC,Classical-Ridge,HPT-QRC,ARMAX,HARX,LSTMX,RCX,HPT-QRC-X
AR1,,0.156,0.720,0.003,0.887,0.364,0.988,0.006,0.123,0.009,0.218,0.048
AR3,-1.419,,0.182,0.001,0.115,0.077,0.471,0.002,0.328,0.002,0.216,0.011
HAR,-0.358,1.333,,0.001,0.731,0.091,0.846,0.001,0.082,0.001,0.217,0.012
LSTM,2.949,3.289,3.337,,0.001,0.000,0.004,0.006,0.001,0.001,0.244,0.050
RC,-0.142,1.577,0.343,-3.343,,0.162,0.950,0.001,0.110,0.001,0.218,0.018
Classical-Ridge,0.908,1.766,1.690,-3.864,1.398,,0.432,0.000,0.041,0.000,0.221,0.009
HPT-QRC,-0.015,0.721,0.194,-2.892,0.063,-0.786,,0.011,0.219,0.012,0.218,0.032
ARMAX,2.728,3.137,3.199,-2.730,3.229,3.683,2.527,,0.001,0.580,0.236,0.561
HARX,-1.541,-0.978,-1.738,-3.371,-1.598,-2.048,-1.229,-3.205,,0.001,0.215,0.005
LSTMX,2.618,3.126,3.178,-3.323,3.179,3.947,2.508,-0.553,3.299,,0.235,0.631
RCX,1.232,1.237,1.234,1.166,1.232,1.223,1.233,1.186,1.240,1.189,,0.230
HPT-QRC-X,1.974,2.543,2.525,-1.961,2.374,2.605,2.149,-0.581,2.808,-0.480,-1.199,
