fold,model,test_start,test_end,MSE,MAE,QLIKE
0,AR1,1972-02-29,1974-01-31,0.006362660005538048,0.06403765730292647,0.00948949904740288
0,AR3,1972-02-29,1974-01-31,0.006444171760047516,0.06448900407742664,0.009605745321789075
0,HAR,1972-02-29,1974-01-31,0.006514500883790936,0.06479512450670026,0.009801539954187791
0,HARX,1972-02-29,1974-01-31,0.006083135817180771,0.06414222538881985,0.00917037661085196
0,ESN,1972-02-29,1974-01-31,0.006556131718306857,0.06603741596423014,0.010057951854235156
0,LSTM,1972-02-29,1974-01-31,0.01598198181199169,0.09579172543348101,0.021922273766817952
0,RFF+Ridge,1972-02-29,1974-01-31,0.007424097342933931,0.06630849924911054,0.011553850153757548
0,HPT-QRC,1972-02-29,1974-01-31,0.006783082299397524,0.06153508398047317,0.010474057495436376
1,AR1,1974-02-28,1976-01-31,0.006969938546935815,0.06800124780459489,0.014697535542865209
1,AR3,1974-02-28,1976-01-31,0.0056284148911186676,0.059702000286648994,0.012339995636598822
1,HAR,1974-02-28,1976-01-31,0.005260204285476254,0.05608023858821293,0.011873548990121044
1,HARX,1974-02-28,1976-01-31,0.004136490511506324,0.049984949622913645,0.009610458595722848
1,ESN,1974-02-28,1976-01-31,0.051749018293702966,0.20199495538700027,0.060773486745895354
1,LSTM,1974-02-28,1976-01-31,0.033058256947086286,0.16558470315940907,0.0512584735343942
1,RFF+Ridge,1974-02-28,1976-01-31,0.007408776144530757,0.06865594411663915,0.014088752104952548
1,HPT-QRC,1974-02-28,1976-01-31,0.0119093214454921,0.09371352255365051,0.020411942488215106
2,AR1,1976-02-29,1978-01-31,0.002630662054714886,0.041245828543393294,0.002990564530555101
2,AR3,1976-02-29,1978-01-31,0.0025680196641547364,0.04007385608435841,0.002901470738286125
2,HAR,1976-02-29,1978-01-31,0.0027836929609210445,0.04123928378266436,0.0032188184139878653
2,HARX,1976-02-29,1978-01-31,0.003100541242254001,0.044281667639026856,0.003659352418051811
2,ESN,1976-02-29,1978-01-31,0.0031449067927499393,0.04372797656631953,0.003666281553624473
2,LSTM,1976-02-29,1978-01-31,0.0023887792005727196,0.040234539831313615,0.002705130295620898
2,RFF+Ridge,1976-02-29,1978-01-31,0.0027249061703966504,0.042647912148120644,0.0031008503608947378
2,HPT-QRC,1976-02-29,1978-01-31,0.002501711563535599,0.04147360046915105,0.0028569752018274184
3,AR1,1978-02-28,1980-01-31,0.005695332756732843,0.05641387488945762,0.0074610087549116895
3,AR3,1978-02-28,1980-01-31,0.0056330731932543315,0.05687172187156261,0.0075025192035934885
3,HAR,1978-02-28,1980-01-31,0.005519434688832459,0.05526834405796165,0.007341346026816159
3,HARX,1978-02-28,1980-01-31,0.006791002096797013,0.07015221736318193,0.009758752503296969
3,ESN,1978-02-28,1980-01-31,0.006668494839963991,0.07386075228096746,0.009378754609245874
3,LSTM,1978-02-28,1980-01-31,0.007891668034113342,0.06692839950225006,0.010270034983206361
3,RFF+Ridge,1978-02-28,1980-01-31,0.006435502698295843,0.06391894365240265,0.008241189977101632
3,HPT-QRC,1978-02-28,1980-01-31,0.006036567739790979,0.05934781553815722,0.007750800679539076
4,AR1,1980-02-29,1982-01-31,0.004566261758294815,0.051883636116667166,0.007476263504366282
4,AR3,1980-02-29,1982-01-31,0.0045176171759502256,0.050202188552913835,0.0074616996774383255
4,HAR,1980-02-29,1982-01-31,0.003948113973919307,0.04766895224725055,0.006673628838127443
4,HARX,1980-02-29,1982-01-31,0.005843468983054406,0.06241374707417938,0.010725251969735653
4,ESN,1980-02-29,1982-01-31,0.004206457776041034,0.048710467096257724,0.0070746123170131086
4,LSTM,1980-02-29,1982-01-31,0.015776281138154217,0.11040036614276004,0.02216488061786792
4,RFF+Ridge,1980-02-29,1982-01-31,0.004713876724702369,0.05016941930203778,0.008015751782816938
4,HPT-QRC,1980-02-29,1982-01-31,0.0075949028219219165,0.0699974643805611,0.013109162334276355
5,AR1,1982-02-28,1984-01-31,0.006490992457954766,0.05459285916353801,0.011799462025892419
5,AR3,1982-02-28,1984-01-31,0.00604829025159722,0.05336818323142347,0.011028593281557817
5,HAR,1982-02-28,1984-01-31,0.005924710019341316,0.05485696340186693,0.010967386018802141
5,HARX,1982-02-28,1984-01-31,0.005856084674026448,0.05323344236144032,0.011079259904137662
5,ESN,1982-02-28,1984-01-31,0.006587670367072263,0.057324701465022145,0.011966157044122358
5,LSTM,1982-02-28,1984-01-31,0.0133719014804066,0.08665178395136215,0.021871007640488088
5,RFF+Ridge,1982-02-28,1984-01-31,0.007206382819818658,0.06254996601333797,0.01346572075786609
5,HPT-QRC,1982-02-28,1984-01-31,0.008515095507853216,0.07540959088997108,0.015803210151342683
6,AR1,1984-02-29,1986-01-31,0.004526636163542117,0.05089443061217497,0.006406793703443677
6,AR3,1984-02-29,1986-01-31,0.004301334987221389,0.04973650566134887,0.006048499632747423
6,HAR,1984-02-29,1986-01-31,0.003989130240405806,0.04750973633043191,0.005615475303924172
6,HARX,1984-02-29,1986-01-31,0.004083871244461513,0.04744206612197719,0.005689360025716415
6,ESN,1984-02-29,1986-01-31,0.0039013341000912476,0.047792889467531026,0.00550107845706201
6,LSTM,1984-02-29,1986-01-31,0.0036909318878914823,0.042903352254595455,0.0050720971222495415
6,RFF+Ridge,1984-02-29,1986-01-31,0.004466008449808832,0.05215793480651585,0.006165971919726222
6,HPT-QRC,1984-02-29,1986-01-31,0.004032335797750921,0.04971802129232288,0.00568690244718469
7,AR1,1986-02-28,1988-01-31,0.020325492161016184,0.1012889892753861,0.7283998752755115
7,AR3,1986-02-28,1988-01-31,0.0183902157506175,0.08712792919350558,0.7134743961871904
7,HAR,1986-02-28,1988-01-31,0.018129206383599356,0.08963812076345634,0.7127074495001583
7,HARX,1986-02-28,1988-01-31,0.019836892067832873,0.09507982634591901,0.7154734399305046
7,ESN,1986-02-28,1988-01-31,0.017341269020374025,0.08838173539172296,0.7159295273647478
7,LSTM,1986-02-28,1988-01-31,0.0277657667474475,0.11055487847144924,0.7289944640942897
7,RFF+Ridge,1986-02-28,1988-01-31,0.015915920635338317,0.0870781550710411,0.719952720766651
7,HPT-QRC,1986-02-28,1988-01-31,0.015951314049781243,0.08745264069337118,0.7165804435100512
